Founder,Pop,Clone,Notes,Type,Gene,Distance to gene,FREQ IN CL,FREQ OUT CL,Notes
L098,6,1,,non,MDM1,,100.00%,0.00%,
L098,6,1,,non,SWE1,,100.00%,0.09%,
L098,6,1,,prom,LSM5,185,100.00%,0.21%,
L098,6,1,,non,YOL159C,,100.00%,0.07%,
L098,6,1,,prom,GPI19,319,100.00%,0.00%,
L098,6,1,,syn,LAS1,,100.00%,0.00%,
L098,6,1,,stop,YMR027W,,100.00%,0.00%,
L098,6,1,,non,SSB2,,95.20%,0.00%,
L098,6,1,,non,ANP1,,100.00%,0.19%,
L098,6,1,,frame,HUL4,,100.00%,4.27%,
L098,6,1,,non,MSI1,,100.00%,0.13%,
L098,6,1,,non,PZF1,,100.00%,0.00%,
L098,8,0,,non,ANP1,,95.20%,0.25%,
L098,8,0,,non,CAB4,,100.00%,0.00%,
L098,8,1,,prom,RTT105,55,100.00%,0.38%,
L098,8,1,,syn,NUP188,,100.00%,0.25%,
L098,8,1,,non,PIN4,,100.00%,0.08%,
L098,8,1,,non,CCH1,,96.70%,0.18%,
L098,8,1,,complex-prom,ARG5%2C6,417,100.00%,0.23%,
L098,8,1,,complex-prom,ARG5%2C6,416,100.00%,0.72%,
L098,8,1,,non,PEX6,,100.00%,0.00%,
L098,8,2,not used,prom,PDI1,99,71.40%,0.45%,
L098,8,2,not used,intergenic,none,,100.00%,2.98%,
L098,8,2,not used,non,GIN4,,100.00%,0.15%,
L098,8,2,not used,syn,IES5,,100.00%,0.38%,
L098,8,2,not used,intergenic,none,,100.00%,0.00%,
L098,8,2,not used,prom,SSM4,432,100.00%,0.00%,
L098,8,2,not used,non,MSH3,,100.00%,0.00%,
L098,8,2,not used,complex-intergenic,none,,100.00%,0.62%,
L098,8,2,not used,complex-intergenic,none,,100.00%,0.35%,
L098,9,1,,non,AEP2,,100.00%,0.00%,
L098,9,1,,prom,RSA3,200,100.00%,0.00%,
L098,9,1,,prom,GTR2,306,100.00%,0.00%,
L098,9,1,,syn,NOP14,,100.00%,0.21%,
L098,9,1,,prom,YOR108C-A,129,100.00%,0.00%,
L098,9,1,,non,CLB6,,100.00%,0.00%,
L098,9,1,,non,PEX29,,100.00%,0.00%,
L098,9,1,,prom,SDP1,220,100.00%,0.34%,
L098,9,1,,non,DBP10,,100.00%,0.09%,
L098,9,1,,syn,AUS1,,100.00%,0.15%,
L098,9,1,,syn,MDM30,,100.00%,0.00%,
L098,9,1,,intergenic,none,,100.00%,0.00%,
L098,9,1,,non,YJL206C,,100.00%,0.00%,
L098,9,1,,intergenic,none,,100.00%,0.00%,
L098,9,1,,non,DIG1,,95.50%,0.47%,
L098,9,1,,intergenic,none,,100.00%,0.00%,
L098,9,1,,stop,EGT2,,92.90%,0.06%,
L098,9,1,,prom,YKU70,419,100.00%,0.00%,
L098,9,1,,syn,ADY4,,100.00%,0.00%,
L098,9,1,,intergenic,none,,100.00%,0.00%,
L098,9,1,,prom,UBP1,130,100.00%,0.00%,
L098,9,1,,non,SFL1,,100.00%,0.79%,
L098,9,1,,prom,THI4,126,100.00%,0.00%,
L098,9,1,,intergenic,none,,100.00%,0.00%,
L098,9,1,,syn,NOT3,,100.00%,0.56%,
L098,9,1,,prom,AIM9,282,100.00%,0.00%,
L098,9,1,,non,CYR1,,100.00%,0.38%,
L098,10,1,,intergenic,none,,100.00%,0.00%,
L098,10,1,,intergenic,none,,100.00%,0.00%,
L098,10,1,,intergenic,none,,100.00%,1.02%,
L098,10,1,,intergenic,none,,100.00%,0.00%,
L098,10,1,,frame,MPT5,,100.00%,0.00%,
L098,10,1,,prom,SEC39,378,100.00%,0.00%,
L098,10,1,,non,MNN10,,96.80%,0.35%,
L098,10,1,,complex-non,CSI1,,100.00%,0.00%,
L098,10,1,,complex-non,CSI1,,100.00%,0.00%,
L098,10,1,,non,TIR4,,100.00%,0.41%,
L098,11,1,,frame,SDH4,,90.90%,3.35%,
L098,11,1,,non,PKH3,,100.00%,0.16%,
L098,11,1,,stop,ATG4,,100.00%,0.14%,
L098,11,1,,intergenic,none,,100.00%,0.12%,
L098,11,1,,prom,AMD2,445,100.00%,0.80%,
L098,11,1,,non,DBF20,,100.00%,0.60%,
L098,11,2,not used,non,SDS23,,100.00%,0.42%,
L098,11,2,not used,non,UBP15,,100.00%,0.00%,
L098,11,2,not used,non,UTH1,,100.00%,1.01%,
L098,11,2,not used,syn,KEL2,,100.00%,0.31%,
L098,11,2,not used,non,SEC21,,100.00%,0.08%,
L098,12,1,,prom,SPO21,21,100.00%,0.00%,
L098,12,1,,prom,MIC14,84,100.00%,0.51%,
L098,12,1,,intergenic,none,,100.00%,0.00%,
L098,12,1,,intergenic,none,,90.90%,0.36%,
L098,12,1,,stop,IDS2,,100.00%,0.10%,
L098,12,1,,frame,MIH1,,100.00%,0.28%,
L098,12,1,,prom,TCB2,270,100.00%,0.00%,
L098,12,1,,non,IRA2,,100.00%,0.09%,
L098,12,1,,complex-prom,POS5,40,100.00%,0.00%,
L098,12,1,,complex-prom,POS5,39,100.00%,0.00%,
L102,0,0,,stop,SPC2,,100.00%,3.09%,
L102,0,0,,stop,OSW1,,100.00%,3.77%,
L102,0,0,,non,RAD33,,100.00%,4.12%,
L102,1,0,,non,UBP8,,90.90%,0.22%,
L102,1,0,,intergenic,none,,91.70%,1.00%,
L102,1,0,,frame,ACE2,,100.00%,0.09%,
L102,1,0,,non,MRL1,,100.00%,0.08%,
L102,1,1,,non,PLC1,,100.00%,0.14%,
L102,1,1,,non,GDH3,,100.00%,0.20%,
L102,1,1,,complex-non,FRE7,,100.00%,0.33%,
L102,1,1,,complex-non,FRE7,,100.00%,0.13%,
L102,1,2,not used,syn,PFK2,,100.00%,0.59%,
L102,7,1,,prom,HXT6,174,100.00%,0.17%,
L102,7,1,,syn,PIK1,,100.00%,0.00%,
L102,7,1,,non,APE1,,100.00%,0.38%,
L102,7,1,,intergenic,none,,100.00%,0.10%,
L102,7,1,,non,YOL087C,,100.00%,0.00%,
L102,7,1,,frame,DOT6,,100.00%,0.23%,
L102,7,1,,non,PCL10,,100.00%,0.44%,
L102,7,1,,intergenic,none,,100.00%,0.00%,
L102,7,1,,non,JHD2,,100.00%,0.08%,
L102,7,1,,non,SGS1,,100.00%,0.08%,
L102,7,1,,intergenic,none,,100.00%,0.00%,
L102,7,1,,non,SUN4,,100.00%,0.00%,
L102,7,1,,non,PTR2,,87.50%,0.21%,
L102,9,1,,non,PPH3,,100.00%,0.56%,
L102,9,1,,non,RTT10,,100.00%,0.15%,
L102,9,1,,intergenic,none,,84.60%,0.13%,
L102,9,1,,intergenic,none,,100.00%,0.00%,
L102,9,1,,prom,RPS1B,107,100.00%,0.41%,
L102,9,1,,complex-intergenic,none,,100.00%,0.00%,
L102,9,1,,complex-intergenic,none,,100.00%,0.00%,
L102,9,1,,intergenic,none,,100.00%,0.00%,
L102,10,1,,non,BIT61,,100.00%,0.33%,
L102,10,1,,syn,GWT1,,100.00%,0.00%,
L102,10,1,,non,OPI10,,100.00%,0.00%,
L102,10,1,,non,MIH1,,100.00%,0.10%,
L102,10,1,,non,VPS8,,100.00%,0.00%,
L102,10,1,,intergenic,none,,100.00%,0.00%,
L102,10,1,,intergenic,none,,100.00%,0.43%,
L102,10,1,,non,LYS4,,100.00%,0.00%,
L102,10,1,,prom,TDH3,422,100.00%,0.00%,
L102,10,1,,non,HIF1,,100.00%,0.12%,
L102,10,1,,non,IRC8,,100.00%,0.07%,
L102,10,1,,intergenic,none,,100.00%,0.00%,
L102,10,1,,non,YMR259C,,100.00%,0.16%,
L102,11,1,,prom,SSZ1,370,100.00%,0.00%,
L102,11,1,,intergenic,none,,100.00%,0.25%,
L102,11,1,,non,YNL115C,,100.00%,0.08%,
L102,11,1,,prom,RHO5,174,100.00%,0.00%,
L102,11,1,,frame,UBP14,,100.00%,0.00%,
L102,11,1,,non,UFO1,,100.00%,0.07%,
L102,11,1,,syn,STB1,,100.00%,0.06%,
L102,11,1,,prom,DFG5,124,100.00%,0.53%,
L102,11,1,,frame,WHI2,,100.00%,0.25%,
L102,11,1,,non,STE50,,100.00%,0.27%,
L102,11,1,,non,TAF1,,100.00%,0.00%,
L102,11,1,,non,MEH1,,100.00%,0.00%,
L102,11,1,,syn,ERG7,,100.00%,0.36%,
L102,11,1,,non,PIN4,,100.00%,0.21%,
L102,11,1,,stop,SUN4,,100.00%,0.20%,
L102,11,1,,non,CDC28,,100.00%,0.40%,
L102,11,1,,non,HOF1,,100.00%,0.00%,
L102,11,1,,non,LEE1,,100.00%,0.00%,
L102,12,1,,frame,ALG9,,100.00%,0.13%,
L102,12,1,,prom,CAT2,497,100.00%,0.07%,
L102,12,1,,prom,RRI1,140,100.00%,0.00%,
L102,12,1,,non,FMP30,,100.00%,0.07%,
L102,12,1,,prom,RSP5,79,100.00%,0.00%,
L102,12,1,,stop,ULI1,,100.00%,0.11%,
L102,12,1,,stop,STE12,,100.00%,0.00%,
L102,12,1,,non,FAF1,,100.00%,0.00%,
L102,12,1,,frame,SUN4,,100.00%,0.07%,
L102,12,1,,stop,DNF3,,100.00%,0.10%,
L102,12,1,,non,RAD61,,100.00%,0.00%,
L041,0,0,,non,RNH70,,100.00%,0.40%,
L041,0,0,,frame,KEL1,,100.00%,0.18%,
L041,1,1,,non,MKS1,,100.00%,0.24%,
L041,1,1,,prom,FYV6,277,84.60%,0.00%,
L041,1,1,,non,IRA2,,100.00%,0.00%,
L041,1,1,,non,PEX8,,100.00%,0.00%,
L041,1,1,,syn,IMP3,,58.60%,0.08%,
L041,1,1,,non,GAT2,,94.10%,0.10%,
L041,1,1,,intergenic,none,,100.00%,0.13%,
L041,1,1,,intergenic,none,,100.00%,0.13%,
L041,1,1,,prom,YPR063C,281,96.60%,0.44%,
L041,2,0,,syn,SRO77,,100.00%,0.19%,
L041,2,0,,frame,GAT2,,100.00%,0.23%,
L041,2,0,,intergenic,none,,100.00%,0.23%,
L041,2,0,,non,SAE3,,100.00%,0.38%,
L041,2,0,,syn,FKH1,,100.00%,0.34%,
L041,2,0,,non,DAS1,,100.00%,0.00%,
L041,2,0,,stop,FUS3,,100.00%,0.08%,
L041,2,0,,syn,DSS1,,100.00%,0.10%,
L041,2,0,,non,KAP120,,100.00%,0.18%,
L041,2,2,not used,non,MTR4,,100.00%,0.37%,
L041,2,2,not used,syn,YPR022C,,100.00%,0.42%,
L041,4,1,,frame,YDR387C,,100.00%,0.08%,
L041,4,1,,non,NOP7,,100.00%,0.25%,
L041,4,1,,frame,DIG1,,100.00%,0.00%,
L041,4,1,,intergenic,none,,100.00%,0.15%,
L041,4,1,,frame,IRA1,,100.00%,0.00%,
L041,4,1,,prom,YHR045W,105,100.00%,0.09%,
L041,4,1,,non,SYG1,,100.00%,0.28%,
L041,4,1,,prom,DFG16,157,100.00%,0.21%,
L041,4,1,,non,RVS167,,90.90%,0.17%,
L041,4,1,,non,CBF2,,96.00%,0.92%,
L041,4,1,,prom,ARO7,151,100.00%,0.00%,
L041,4,1,,prom,YMR295C,149,100.00%,0.00%,
L041,5,1,,non,NOC3,,100.00%,0.24%,
L041,5,1,,stop,HCM1,,100.00%,0.08%,
L041,5,1,,intergenic,none,,100.00%,0.11%,
L041,5,1,,intron,RPS21B,,100.00%,0.00%,
L041,5,1,,non,DMA2,,100.00%,0.06%,
L041,6,1,,intergenic,none,,100.00%,0.00%,
L041,6,1,,non,ATG26,,100.00%,0.13%,
L041,6,1,,prom,SPO75,115,100.00%,0.44%,
L041,6,1,,prom,NDJ1,235,100.00%,0.00%,
L041,6,1,,non,YDR266C,,100.00%,0.10%,
L041,6,1,,prom,CTL1,172,100.00%,0.00%,
L041,6,1,,syn,KAR2,,100.00%,0.23%,
L041,6,1,,non,RRT6,,96.30%,0.26%,
L041,6,1,,non,SBE22,,100.00%,0.00%,
L041,6,1,,stop,HSL1,,100.00%,1.35%,
L041,6,1,,complex-intergenic,none,,100.00%,1.53%,
L041,6,1,,complex-intergenic,none,,100.00%,0.80%,
L041,6,1,,complex-non,YOR293C-A,,100.00%,0.74%,
L041,6,1,,complex-non,YOR293C-A,,100.00%,0.18%,
L041,6,1,,complex-non,YOR293C-A,,100.00%,0.74%,
L041,6,1,,complex-non,YOR293C-A,,100.00%,0.18%,
L041,8,0,,non,RRP5,,97.40%,0.09%,
L041,8,1,,prom,MRPL38,306,100.00%,0.00%,
L041,8,1,,non,GPB2,,96.40%,0.18%,
L041,8,1,,non,NGR1,,95.00%,0.23%,
L041,8,1,,intergenic,none,,100.00%,0.95%,
L041,8,1,,non,CAK1,,100.00%,0.87%,
L041,8,1,,non,PGU1,,97.60%,0.26%,
L041,8,1,,non,YMR027W,,92.30%,0.19%,
L041,8,2,not used,intron,RPL7A,,100.00%,0.00%,
L041,8,2,not used,stop,GAT2,,100.00%,0.00%,
L041,8,2,not used,intergenic,none,,100.00%,0.00%,
L041,8,2,not used,prom,RFX1,197,90.00%,0.65%,
L041,8,2,not used,non,YGR122W,,100.00%,0.31%,
L041,8,2,not used,stop,ARE2,,100.00%,0.00%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.15%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.20%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.00%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.00%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.19%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.06%,
L041,9,1,,complex-stop,ENA5,,100.00%,1.36%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.06%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.40%,
L041,9,1,,complex-stop,ENA5,,92.30%,0.00%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.07%,
L041,9,1,,complex-stop,ENA5,,91.70%,0.06%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.22%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.17%,
L041,9,1,,complex-stop,ENA5,,100.00%,0.06%,
L041,9,1,,non,HMG1,,100.00%,0.13%,
L041,9,1,,syn,MSC6,,100.00%,0.00%,
L041,9,1,,stop,HSL1,,100.00%,0.07%,
L041,9,1,,non,YBL029W,,100.00%,0.00%,
L041,9,1,,non,GUA1,,100.00%,0.00%,
L041,10,1,,intergenic,none,,100.00%,0.00%,
L041,10,1,,non,SCC2,,100.00%,0.00%,
L041,10,1,,stop,MPT5,,100.00%,0.11%,
L041,10,1,,non,YBR063C,,100.00%,0.00%,
L041,10,1,,prom,TRM1,48,100.00%,0.00%,
L041,10,1,,prom,PCH2,14,100.00%,0.10%,
L041,10,1,,intergenic,none,,100.00%,0.00%,
L041,10,1,,non,RSC58,,100.00%,0.09%,
L041,10,1,,non,BNI1,,100.00%,0.00%,
L041,10,1,,prom,PGK1,156,100.00%,0.73%,
L041,10,1,,non,YHL044W,,100.00%,0.00%,
L041,10,1,,prom,DPB11,157,100.00%,0.23%,
L041,10,1,,non,TIP20,,100.00%,0.00%,
L041,10,1,,complex-non,NUM1,,100.00%,1.27%,
L041,10,1,,complex-non,NUM1,,100.00%,0.44%,
L041,10,1,,complex-non,NUM1,,100.00%,1.26%,
L041,10,1,,complex-non,NUM1,,100.00%,0.75%,
L041,10,1,,complex-non,NUM1,,100.00%,0.08%,
L041,10,1,,complex-non,NUM1,,100.00%,0.38%,
L041,10,1,,syn,LYS2,,80.00%,0.22%,
L041,10,1,,prom,YER091C-A,6,100.00%,0.00%,
L041,10,1,,syn,CTF3,,100.00%,0.00%,
L041,10,1,,stop,SFL1,,100.00%,0.38%,
L041,11,0,,stop,MIH1,,100.00%,0.00%,
L041,11,0,,prom,RPS23A,194,100.00%,0.76%,
L041,11,0,,prom,YLR402W,186,100.00%,0.00%,
L041,11,0,,intron,RPS6A,,100.00%,0.13%,
L041,11,1,,non,MDH1,,100.00%,1.96%,
L041,11,2,not used,intergenic,none,,100.00%,0.00%,
L041,11,2,not used,non,GLT1,,100.00%,0.00%,
L041,11,2,not used,non,RPN13,,100.00%,0.17%,
L041,12,1,,syn,PAC1,,100.00%,0.00%,
L041,12,1,,stop,GAT2,,100.00%,0.00%,
L041,12,1,,prom,GPB1,268,100.00%,0.00%,
L041,12,1,,intergenic,none,,100.00%,0.00%,
L041,12,1,,non,GUP2,,94.40%,0.09%,
L041,12,1,,prom,PMS1,267,100.00%,0.00%,
L041,12,1,,syn,RPN14,,100.00%,0.33%,
L041,12,1,,syn,MUM3,,100.00%,0.00%,
L041,12,1,,complex-frame,FUS2,,100.00%,0.24%,
L041,12,1,,complex-frame,FUS2,,83.30%,0.00%,
L041,12,1,,prom,PCD1,57,100.00%,3.02%,
L034,0,0,"likely diploid, not used",syn,THI72,,56.10%,0.65%,
L034,1,1,"likely diploid, not used",non,SSA3,,88.90%,2.54%,
L034,1,1,"likely diploid, not used",complex-non,MIG3,,71.40%,0.93%,
L034,1,1,"likely diploid, not used",complex-non,MIG3,,71.40%,0.15%,
L034,1,1,"likely diploid, not used",non,YDR262W,,80.00%,0.00%,
L034,1,1,"likely diploid, not used",prom,FUS3,233,70.00%,0.16%,
L034,1,2,"likely diploid, not used",non,LDB17,,71.40%,0.16%,
L034,1,2,"likely diploid, not used",syn,RPC82,,70.00%,0.21%,
L034,2,1,"likely diploid, not used",non,BUD2,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",non,YOL075C,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",prom,OM14,2,100.00%,0.00%,
L034,2,1,"likely diploid, not used",intergenic,none,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",non,SUM1,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",non,HOR2,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",intergenic,none,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",non,BZZ1,,100.00%,0.09%,
L034,2,1,"likely diploid, not used",syn,GCD14,,100.00%,0.06%,
L034,2,1,"likely diploid, not used",non,RPS1A,,100.00%,0.00%,
L034,2,1,"likely diploid, not used",non,MET14,,100.00%,0.07%,
L034,2,1,"likely diploid, not used",intergenic,none,,100.00%,0.00%,
L034,3,1,"likely diploid, not used",prom,FAS1,347,80.00%,0.00%,
L034,3,1,"likely diploid, not used",frame,CCW12,,71.40%,0.00%,
L034,3,1,"likely diploid, not used",non,CCZ1,,100.00%,0.00%,
L034,3,1,"likely diploid, not used",prom,NUS1,154,66.70%,0.18%,
L034,3,1,"likely diploid, not used",stop,YGL081W,,100.00%,0.09%,
L034,3,1,"likely diploid, not used",intergenic,none,,63.60%,0.00%,
L034,3,1,"likely diploid, not used",non,POM152,,62.50%,0.00%,
L034,5,1,"likely diploid, not used",non,ERF2,,100.00%,0.00%,
L034,5,1,"likely diploid, not used",prom,ARO8,280,61.10%,0.07%,
L034,5,1,"likely diploid, not used",non,PRM2,,76.50%,0.27%,
L034,5,1,"likely diploid, not used",non,CEP3,,87.50%,0.14%,
L034,6,0,"likely diploid, not used",complex-non,ROT2,,59.10%,1.10%,
L034,6,0,"likely diploid, not used",complex-non,ROT2,,65.00%,0.95%,
L034,6,0,"likely diploid, not used",complex-non,ROT2,,65.00%,0.62%,
L034,6,1,"likely diploid, not used",non,CCW12,,66.70%,0.53%,
L034,6,2,"likely diploid, not used",stop,MUP1,,100.00%,0.00%,
L034,6,2,"likely diploid, not used",complex-non,MNN9,,100.00%,0.84%,
L034,6,2,"likely diploid, not used",complex-non,MNN9,,100.00%,0.00%,
L034,7,1,"likely diploid, not used",non,SSK2,,100.00%,0.00%,
L034,7,1,"likely diploid, not used",syn,AVT5,,100.00%,0.11%,
L034,7,1,"likely diploid, not used",non,SYP1,,100.00%,0.00%,
L034,7,1,"likely diploid, not used",stop,TAF12,,100.00%,0.10%,
L034,7,1,"likely diploid, not used",non,YER156C,,100.00%,0.07%,
L034,7,1,"likely diploid, not used",non,SOH1,,100.00%,0.00%,
L034,7,1,"likely diploid, not used",non,RTT10,,100.00%,0.08%,
L034,7,1,"likely diploid, not used",prom,YOL163W,428,72.70%,0.06%,
L034,7,2,"likely diploid, not used",non,IES3,,100.00%,0.08%,
L034,7,2,"likely diploid, not used",syn,YMR086W,,100.00%,0.10%,
L034,7,2,"likely diploid, not used",non,YDL157C,,100.00%,0.08%,
L034,7,2,"likely diploid, not used",non,ALK1,,85.70%,0.44%,
L034,7,2,"likely diploid, not used",prom,SAM35,325,80.00%,0.06%,
L034,7,2,"likely diploid, not used",non,YLR278C,,100.00%,0.00%,
L034,7,2,"likely diploid, not used",intergenic,none,,100.00%,0.00%,
L034,9,1,"likely diploid, not used",syn,PPR1,,100.00%,0.00%,
L034,9,1,"likely diploid, not used",non,TEL1,,100.00%,0.10%,
L034,9,1,"likely diploid, not used",non,YRF1-2,,80.00%,1.05%,
L034,9,1,"likely diploid, not used",stop,HXT10,,100.00%,0.06%,
L034,9,1,"likely diploid, not used",syn,SPP382,,100.00%,0.00%,
L034,10,1,"likely diploid, not used",syn,TRM1,,64.30%,0.18%,
L034,10,1,"likely diploid, not used",non,YER158C,,60.00%,0.07%,
L034,10,1,"likely diploid, not used",non,EUG1,,65.00%,0.37%,
L034,10,1,"likely diploid, not used",intron,RPL33A,,75.00%,0.00%,
L094,0,0,,intergenic,none,,100.00%,0.26%,
L094,0,0,,non,PHO89,,96.40%,0.26%,
L094,0,0,,non,YDR089W,,99.00%,0.34%,
L094,0,0,,intergenic,none,,100.00%,0.58%,
L094,0,0,,prom,STO1,37,98.10%,0.25%,
L094,2,1,,non,FUS3,,100.00%,0.18%,
L094,2,1,,non,YBR139W,,100.00%,0.08%,
L094,2,1,,intergenic,none,,100.00%,0.00%,
L094,2,1,,prom,YBL008W-A,160,100.00%,0.20%,
L094,2,1,,frame,YHR045W,,100.00%,0.00%,
L094,2,2,not used,non,YLL058W,,100.00%,0.21%,
L094,2,2,not used,non,YNL144C,,100.00%,0.70%,
L094,2,2,not used,complex-syn,HXT7,,100.00%,0.67%,
L094,2,2,not used,complex-syn,HXT7,,100.00%,0.24%,
L094,2,2,not used,non,YEL076C-A,,57.90%,0.00%,
L094,2,2,not used,prom,PRE9,161,100.00%,0.00%,
L094,2,2,not used,intergenic,none,,100.00%,0.00%,
L094,2,2,not used,non,PAH1,,100.00%,0.00%,
L094,2,2,not used,stop,CTS1,,100.00%,0.16%,
L094,2,2,not used,non,HUT1,,100.00%,0.22%,
L094,3,0,,prom,YBR220C,294,85.70%,0.82%,
L094,3,0,,intergenic,none,,100.00%,3.43%,
L094,3,1,,syn,REV3,,96.70%,0.00%,
L094,3,1,,intergenic,none,,92.30%,0.08%,
L094,3,1,,intergenic,none,,100.00%,0.51%,
L094,3,1,,non,GLR1,,100.00%,0.46%,
L094,3,1,,prom,YDR341C,73,100.00%,0.27%,
L094,3,1,,non,CKA2,,96.30%,0.21%,
L094,3,2,not used,syn,SHR5,,100.00%,0.90%,
L094,3,2,not used,non,IRA1,,100.00%,0.30%,
L094,3,2,not used,prom,YCL022C,481,100.00%,0.00%,
L094,3,2,not used,non,ICY2,,100.00%,0.15%,
L094,3,2,not used,non,YDR186C,,100.00%,0.10%,
L094,3,2,not used,non,RPH1,,93.80%,0.00%,
L094,3,2,not used,non,YHR112C,,100.00%,0.00%,
L094,3,2,not used,non,AIM33,,87.50%,0.08%,
L094,3,2,not used,non,YOL087C,,100.00%,0.00%,
L094,3,2,not used,prom,YBR220C,298,100.00%,0.81%,
L094,3,2,not used,intergenic,none,,88.90%,0.00%,
L094,4,1,,prom,NAB6,246,100.00%,1.15%,
L094,4,1,,frame,HHF2,,100.00%,1.74%,
L094,4,1,,intergenic,none,,100.00%,0.42%,
L094,4,1,,non,TAH11,,100.00%,0.00%,
L094,4,1,,non,DGR2,,100.00%,0.29%,
L094,4,1,,stop,ACE2,,100.00%,0.23%,
L094,4,1,,non,IRA1,,100.00%,0.13%,
L094,4,1,,non,FKS3,,100.00%,0.00%,
L094,4,1,,non,YPR097W,,100.00%,0.00%,
L094,5,1,,non,YNR029C,,100.00%,0.70%,
L094,5,1,,syn,PDH1,,100.00%,0.00%,
L094,5,1,,syn,TAD2,,100.00%,0.00%,
L094,5,1,,syn,FEN1,,100.00%,0.08%,
L094,5,1,,non,PSY2,,100.00%,0.00%,
L094,5,1,,non,GRR1,,100.00%,0.41%,
L094,5,1,,intergenic,none,,100.00%,0.08%,
L094,5,1,,syn,CKA2,,100.00%,0.00%,
L094,5,1,,non,BNR1,,100.00%,0.00%,
L094,5,1,,syn,IME2,,100.00%,0.09%,
L094,5,1,,non,ERG6,,71.40%,0.07%,
L094,5,1,,prom,CCT6,294,100.00%,0.00%,
L094,5,1,,non,KIC1,,100.00%,0.00%,
L094,5,1,,non,YLR278C,,100.00%,0.09%,
L094,5,1,,non,CDC55,,100.00%,0.00%,
L094,5,1,,non,AGA1,,100.00%,0.09%,
L094,5,1,,non,APL4,,100.00%,0.00%,
L094,5,1,,prom,MET3,30,100.00%,0.00%,
L094,5,1,,non,MSH3,,100.00%,0.27%,
L094,5,1,,stop,MKT1,,100.00%,0.00%,
L094,5,1,,syn,RET1,,100.00%,0.13%,
L094,5,1,,non,INP51,,100.00%,0.00%,
L094,5,1,,prom,DFG5,23,100.00%,0.00%,
L094,6,1,,non,YTH1,,100.00%,0.00%,
L094,6,1,,non,NOP56,,100.00%,0.31%,
L094,6,1,,prom,YLR287C,236,100.00%,0.00%,
L094,6,1,,stop,DIG1,,100.00%,0.13%,
L094,6,1,,syn,CRN1,,100.00%,0.00%,
L094,6,1,,syn,CBP3,,100.00%,0.09%,
L094,6,1,,non,LTE1,,100.00%,0.08%,
L094,6,1,,stop,YIL055C,,100.00%,0.00%,
L094,6,1,,non,YJR098C,,100.00%,0.00%,
L094,6,1,,non,YMR206W,,100.00%,0.00%,
L094,6,1,,non,MRPL22,,100.00%,0.08%,
L094,6,1,,prom,YGR250C,458,100.00%,0.00%,
L094,6,1,,intergenic,none,,100.00%,0.10%,
L094,6,1,,non,CLB2,,100.00%,0.08%,
L094,6,1,,non,YLR225C,,100.00%,0.00%,
L094,7,0,,frame,FRE1,,100.00%,0.10%,
L094,7,0,,non,CIN1,,100.00%,0.20%,
L094,7,0,,prom,RPC11,201,100.00%,1.16%,
L094,7,0,,non,YGR250C,,100.00%,0.31%,
L094,7,0,,non,KEL1,,100.00%,0.55%,
L094,7,0,,non,IMA5,,100.00%,0.92%,
L094,7,0,,non,NTH2,,95.80%,0.08%,
L094,7,0,,prom,YLR365W,364,100.00%,0.24%,
L094,7,1,,syn,PTM1,,100.00%,0.08%,
L094,7,1,,prom,CAX4,382,100.00%,0.08%,
L094,7,1,,intergenic,none,,100.00%,2.23%,
L094,7,2,not used,syn,PEX6,,100.00%,0.07%,
L094,9,1,,prom,FMP32,199,100.00%,0.00%,
L094,9,1,,non,YDL027C,,100.00%,0.00%,
L094,9,1,,non,GSF2,,100.00%,0.30%,
L094,9,1,,syn,IRA1,,100.00%,0.00%,
L094,9,1,,syn,SGF73,,100.00%,0.22%,
L094,9,1,,syn,ASG1,,100.00%,0.00%,
L094,9,1,,non,PEX1,,100.00%,0.00%,
L094,9,1,,stop,OTU1,,100.00%,0.06%,
L094,9,1,,non,UTP5,,100.00%,0.10%,
L094,9,1,,syn,YNL305C,,100.00%,0.05%,
L094,10,1,,non,RPD3,,100.00%,0.15%,
L094,10,1,,intergenic,none,,100.00%,0.00%,
L094,10,1,,intergenic,none,,100.00%,0.08%,
L094,10,1,,prom,URA10,225,100.00%,0.07%,
L094,10,1,,prom,JJJ1,148,100.00%,0.00%,
L094,10,1,,non,IES4,,100.00%,0.09%,
L094,10,1,,syn,RPL14A,,100.00%,0.00%,
L094,10,1,,non,TRS130,,100.00%,0.00%,
L094,10,1,,non,APL4,,100.00%,0.27%,
