population,frequency,gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04sdhCBEvo02EP,0.605,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,758999,SNP,coding,1
Evo04sdhCBEvo02EP,0.11,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,760645,SNP,coding,1
Evo04sdhCBEvo03EP,1,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,758719,DEL,coding,1
Evo04sdhCBEvo03EP,0.156,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,759129,SNP,coding,1
Evo04sdhCBEvo01EP,1,sucB,dihydrolipoyltranssuccinase,761551,DEL,coding,1
Evo04gndEvo02EP,0.324,sulA;sxy,SOS cell division inhibitor;required for expression of CRP-S-dependent promoters,1020179,SNP,intergenic;intergenic,1
Evo04pgiEvo01EP,1,truC,tRNA(Ile1;Asp) pseudouridine(65) synthase,2921131,DEL,coding,1
Evo04pgiEvo04EP,1,ttcA,tRNA 2-thiocytidine biosynthesis protein,1409949,DEL,cryptic prophage Rac,1
Evo04Evo02EP,1,wcaJ,colanic biosynthesis UDP-glucose lipid carrier transferase,2119548,DEL,coding,1
Evo04Evo01EP,1,wecA,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,3966528,DEL,coding,1
Evo04Evo01EP,1,wecA,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,3966694,DEL,coding,1
Evo04Evo02EP,1,wecE,TDP-4-oxo-6-deoxy-D-glucose transaminase,3974220,DEL,coding,1
Evo04Evo02EP,0.5309,wzzB,regulator of length of O-antigen component of lipopolysaccharide chains,2095836,MOB,coding,1
Evo04gndEvo01EP,0.138,ybeR,hypothetical protein,675950,DEL,coding,1
Evo04pgiEvo06EP,0.6696,ycbC,conserved protein; DUF218 superfamily,972494,MOB,coding,1
Evo04gndEvo01EP,0.105,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04pgiEvo03EP,0.191,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04pgiEvo05EP,0.139,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04pgiEvo07EP,0.186,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04ptsHIcrrEvo02EP,0.2,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04ptsHIcrrEvo03EP,0.111,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04ptsHIcrrEvo04EP,0.124,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04pgiEvo01EP,1,yciC,inner membrane protein; UPF0259 family,1311144,DEL,coding,1
Evo04ptsHIcrrEvo01EP,0.114,ydbA,NA,1464225,SNP,coding,1
Evo04ptsHIcrrEvo02EP,0.11,ydbA,NA,1464300,SNP,coding,1
Evo04tpiAEvo01EP,0.133,ydbC,putative oxidoreductase; NAD(P)-binding,1472327,DEL,coding,1
Evo04tpiAEvo03EP,1,ydhL;nemR,hypothetical protein;transcriptional repressor for the nem operon; NEM-inactivated,1724028,SNP,intergenic;intergenic,1
Evo04tpiAEvo01EP,0.114,ydiP;ydiQ,putative DNA-binding transcriptional regulator;putative electron transfer flavoprotein subunit,1777372,DEL,intergenic;intergenic,1
Evo04Evo01EP,1,ydiU,conserved protein; UPF0061 family,1789047,DEL,coding,1
Evo04pgiEvo08EP,0.9877,yebK,putative DNA-binding transcriptional regulator,1935160,MOB,coding,1
Evo04pgiEvo08EP,1,yecJ;azuC,hypothetical protein;hypothetical protein,1985816,DEL,intergenic;intergenic,1
Evo04sdhCBEvo02EP,0.4416,yfbP,TPR-like repeats-containing protein,2387423,MOB,coding,1
Evo04sdhCBEvo02EP,0.12,yfbP,TPR-like repeats-containing protein,2387426,INS,coding,1
Evo04pgiEvo03EP,1,yfeR,putative DNA-binding transcriptional regulator,2524133,DEL,coding,1
Evo04Evo01EP,0.118,ygeO,NA,2994030,DEL,coding,1
Evo04tpiAEvo04EP,1,yheS,fused predicted transporter subunits of ABC superfamily: ATP-binding components,3479477,DEL,coding,1
Evo04ptsHIcrrEvo04EP,1,yibV,NA,3767689,DEL,coding,1
Evo04pgiEvo02EP,0.308,yibV;yibU,NA,3767880,SNP,intergenic;intergenic,1
Evo04pgiEvo07EP,0.154,yicT;setC,putative arabinose efflux transporter,3834624,INS,intergenic;intergenic,1
Evo04pgiEvo05EP,0.11,yidX,putative lipoproteinC,3873547,SNP,coding,1
Evo04tpiAEvo03EP,0.136,yidX,putative lipoproteinC,3873548,SNP,coding,1
Evo04tpiAEvo04EP,0.112,yidX,putative lipoproteinC,3873550,SNP,coding,1
Evo04sdhCBEvo01EP,1,yjhE,NA,4504893,DEL,coding,1
Evo04tpiAEvo04EP,1,ypdA,putative sensory kinase in two-component system with YpdB,2497761,DEL,coding,1
Evo04ptsHIcrrEvo01EP,1,yrfF,inner membrane protein,3525680,DEL,coding,1
Evo04ptsHIcrrEvo03EP,1,yrfF,inner membrane protein,3525613,SNP,coding,1
Evo04pgiEvo06EP,1,zwf,glucose-6-phosphate 1-dehydrogenase,1934332,SNP,coding,1
Evo04pgiEvo03EP,0.675,zwf;yebK,glucose-6-phosphate 1-dehydrogenase;putative DNA-binding transcriptional regulator,1934672,SNP,intergenic;intergenic,1
Evo04Evo01EP,0.22,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo01EP,0.264,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo01EP,0.313,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo01EP,0.167,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.238,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.223,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.301,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.215,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.121,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04Evo02EP,0.101,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.106,NA,NA,374471,SNP,REP31 (repetitive extragenic palindromic) element; contains 9 REP sequences,1
Evo04gndEvo01EP,0.117,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo01EP,0.108,NA,NA,2302897,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo01EP,0.139,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.157,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.353,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.166,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.129,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.102,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.251,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.266,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.28,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.137,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.12,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo03EP,0.166,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.199,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.342,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.246,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.111,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.11,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo01EP,0.14,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo01EP,0.149,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo01EP,0.338,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo01EP,0.203,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.113,NA,NA,2302545,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo02EP,0.12,NA,NA,2302702,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo02EP,0.102,NA,NA,2302710,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo02EP,1,NA,NA,2763434,DEL,cryptic prophage CP4-57,1
Evo04pgiEvo02EP,0.106,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.206,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.196,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.299,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.21,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.124,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.135,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo02EP,0.119,NA,NA,4324111,SNP,REP325 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo03EP,0.162,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo03EP,0.312,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo03EP,0.134,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo03EP,0.186,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo03EP,0.104,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo04EP,0.163,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo04EP,0.165,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo04EP,0.307,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo04EP,0.222,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo04EP,0.108,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo05EP,0.187,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo05EP,0.18,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo05EP,0.16,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo05EP,0.103,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo06EP,0.116,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo06EP,0.101,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo06EP,0.212,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo06EP,0.234,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo06EP,0.26,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo06EP,0.115,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo07EP,0.106,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04pgiEvo07EP,0.244,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo07EP,0.244,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo07EP,0.302,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo08EP,0.161,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo08EP,0.17,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo08EP,0.364,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04pgiEvo08EP,0.136,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.128,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04ptsHIcrrEvo01EP,0.191,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.211,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.344,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.204,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.113,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo01EP,0.132,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.135,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04ptsHIcrrEvo02EP,0.124,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.249,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.259,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.294,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.207,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.117,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo02EP,0.132,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.122,NA,NA,4294083,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.188,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.22,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.188,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.11,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo03EP,0.116,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.106,NA,NA,348866,SNP,REP25 (repetitive extragenic palindromic) element; contains 8 REP sequences,1
Evo04ptsHIcrrEvo04EP,0.119,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04ptsHIcrrEvo04EP,0.112,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.139,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.437,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.275,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.181,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04ptsHIcrrEvo04EP,0.169,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.169,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.183,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.29,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.202,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.116,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.116,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.103,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.257,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.292,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.255,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.122,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.409,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.274,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.179,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.18,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo01EP,0.32,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo01EP,0.348,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo02EP,0.171,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo02EP,0.118,NA,NA,4323971,SNP,REP325 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04tpiAEvo03EP,0.211,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo03EP,0.249,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo03EP,0.189,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo04EP,0.268,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo04EP,0.161,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo04EP,0.185,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04tpiAEvo04EP,0.139,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
