Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
,191104,https://www-nature-com.uml.idm.oclc.org/articles/nrg3564,Genome dynamics during experimental evolution,"Barrick, 2013",3,N/A,,,,,,,"_ 191106: Scanned for duplicate & wrong species.",RL,30
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature11514,Genomic analysis of a key innovation in an experimental Escherichia coli population,"Blount, 2012",3,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.",RL,51
,191104,https://doi-org.uml.idm.oclc.org/10.1128%2FJB.183.9.2834-2841.2001,Mechanisms causing rapid and parallel losses of ribose catabolism in evolving populations of Escherichia coli B,"Cooper, 2001",3,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
",RL,84
,191104,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.0334340100,"Parallel changes in gene expression after 20,000 generations of evolution in Escherichia coli","Cooper, 2003",3,,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
",RL,86
,191104,https://doi-org.uml.idm.oclc.org/10.1007%2F978-1-4939-0554-6_12,Identification of mutations in laboratory-evolved microbes from next-generation sequencing data using breseq,"Deatherage, 2014",3,N/A,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
",RL,100
,191104,https://doi-org.uml.idm.oclc.org/10.1007%2Fs00239-017-9781-0,Experimental evolution of Escherichia coli harboring an ancient translation protein,"Kacar, 2017",3,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
",RL,215
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature12344,Pervasive genetic hitchhiking and clonal interference in forty evolving yeast populations,"Lang, 2013",3,,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
",RL,250
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.aai8446,Ecological speciation of bacteriophage Lambda in allopatry and sympatry,"Meyer, 2016",3,E. coli & lambda phage,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.",RL,303
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1212986,The molecular diversity of adaptive convergence,"Tenaillon, 2012",3,,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.",RL,450
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature18959,"Tempo and mode of genome evolution in a 50,000-generation experiment","Tenaillon, 2016",3,,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.",RL,453
,,https://www.nature.com/articles/nature08480,Genome evolution and adaptation in a long-term experiment with Escherichia coli,"Barrick, 2009",3,,,,,,,,,MD,28
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1001186,"Genetic Basis of Growth Adaptation of Escherichia coli after Deletion of pgi, a Major Metabolic Gene","Charusanti, 2010",3,E.coli,haploid,,,,,,,MD,71
,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.454.6771&rep=rep1&type=pdf,The Molecular Diversity of Adaptive Convergence,"Tenaillon, 2012",3,,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.",MD,449
,,http://symposium.cshlp.org/content/74/119,Genome-wide Mutational Diversity in an Evolving Population of Escherichia coli,"Barrick, 2009",3,E. coli,haploid,,,,,,,JB,27
,,https://www-nature-com.uml.idm.oclc.org/articles/nature11514,Genomic analysis of a key innovation in an experimental Escherichia coli population,"Blount, 2012",3,,,,,,,,_ Analyze LTEE results.,JB,52
,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001490,Parallel Evolutionary Dynamics of Adaptive Diversification in Escherichia coli,"Herron, 2013",3,E. coli,haploid,,,,,,,JB,182
,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-10-18,Evolution combined with genomic study elucidates genetic bases of isobutanol tolerance in Escherichia coli,"Minty, 2011",3,,,,,,,,,JB,308
,,https://science-sciencemag-org.uml.idm.oclc.org/content/335/6067/457,The Molecular Diversity of Adaptive Convergence,"Tenaillon, 2012",3,,,,,,,,,JB,451
3,,https://www-nature-com.uml.idm.oclc.org/articles/s41564-018-0340-2,Pseudogene repair driven by selection pressure applied in experimental evolution,"Anand, 2019",3,,,,,,,,,B6,12
21,,https://aem-asm-org.uml.idm.oclc.org/content/85/5/e02792-18,Experimental evolution of Escherichia coli K-12 in the presence of PMF uncoupler CCCP selects for mutations affecting PMF-driven drug efflux pumps,"Griffith, 2019",3,,,,,,,,,B6,168
5,,https://uh-ir.tdl.org/uh-ir/bitstream/handle/10657/3375/KARKARE-DISSERTATION-2018.pdf?sequence=1,An Exploration of Fitness Landscapes: Theory and Experiments,"Karkare, 2018",3,E. coli,,2 founders x 3 replicates each x 4 envirs,8000,,"Davis minimal medium supplemented w/: Lac only (L), daily alternating bt glu & lac (G/L), or 2,000-gen alternating starting w/ glu (GL) or lac (LG).",,,B6,217
1,,https://www.biorxiv.org/content/10.1101/531178v2.full,"Inverted Regulation of Multidrug Efflux Pumps, Acid Resistance and Porins in Benzoate-Evolved Escherichia coli K-12","Moore, 2019",3,E. coli K-12  ,haploid,[Check paper to see how many - From Table S2: Only 4 are useful (> 3 reps)],2000 [2000 - some pops were only analyzed in earlier timepoints],,LBK. Stressors: Benzoate.,Table S2 has all mutations,,B6,315
4,,https://cloudfront.escholarship.org/dist/prd/content/qt23f4m0md/qt23f4m0md.pdf,"Exploring the Adaptive Capabilities of Escherichia coli: Perturbations from a Typical Life Cycle and Resulting Evolutionary Compensations
","Sandberg, 2018",3,E. coli,,,,,,,,B6,396
2,,https://elifesciences.org/articles/47612.pdf,Evolutionary pathways to antibiotic resistance are dependent upon environmental structure and bacterial lifestyle,"Santos-Lopez, 2019",3,Acinetobacter baumannii,,,,,,,,B6,399
5,,https://www-nature-com.uml.idm.oclc.org/articles/s41559-018-0781-2,Epigenetic gene silencing alters the mechanisms and rate of evolutionary adaptation,"Stajic, 2019",3,S. cerevisiae,,3 founders x 8 replicates per founder. Exp performed 3 times independently.,90,,1 ml liquid CSM supplemented w/ 0.05% 5-FOA.,,,B6,435
3,,https://www-nature-com.uml.idm.oclc.org/articles/s41598-019-38925-9,"Continuous culture of Escherichia coli, under selective pressure by a novel antimicrobial complex, does not result in development of resistance","Tonoyan, 2019",3,E. coli,,,,,,,,B6,458
22,,https://core.ac.uk/download/pdf/84005771.pdf#page=65,Performance of Sporomusa species for the microbial electrosynthesis of acetate from CO2,"Aryal, 2017",3,Sporomusa ovata,,,,,,,,B2,17
9,,https://mbio.asm.org/content/mbio/6/2/e02565-14.full.pdf,Virus-Induced Dormancy in the Archaeon Sulfolobus islandicus,"Bautista, 2015",3,Sulfolobus islandicus,,,,,,,,B2,36
18,,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=7773&context=etd#page=26,Mutation analysis for metabolic evolution experiments in Escherichia coli,"Boggess, 2018",3,E. coli,,,,,,,,B2,53
14,,https://msphere.asm.org/content/2/3/e00059-17.abstract,Genomewide Mutational Diversity in Escherichia coli Population Evolving in Prolonged Stationary Phase,"Chib, 2017",3,E. coli,haploid,5,,64% SNPS,,,,B2,76
3,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006364,Experimental Evolution of Metabolic Dependency in Bacteria,"D'Souza, 2016",3,E. coli,haploid,,,,,,,B2,92
3,,https://www.frontiersin.org/articles/10.3389/fgene.2014.00468/full,Detecting rare structural variation in evolving microbial populations from new sequence junctions using breseq,"Deatherage, 2015",3,E. coli,haploid,,500 & 1000,,,Data Sheet 1: Full details of all polymorphisms predicted by breseq ,,B2,102
5,,https://www.pnas.org/content/114/10/E1904.short,Specificity of genome evolution in experimental populations of Escherichia coli evolved at different temperatures,"Deatherage, 2017",3,E.coli,,,,,,,,B2,104
18,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007958,Modular epistasis and the compensatory evolution of gene deletion mutants,"Echenique, 2019",3,-,,,,,,,,B2,123
10,,https://www.tandfonline.com/doi/abs/10.1080/23802359.2017.1318683,"The complete mitochondrial genome and phylogenetic placement of Apis nigrocincta Smith (Insecta: Hymenoptera: Apidae), an Asian, cavity-nesting honey bee","Eimanifar, 2017",3,Apis nigrocincta,,,,,,,,B2,125
11,,https://academic.oup.com/gbe/article/9/5/1229/3770955,Genome Mutational and Transcriptional Hotspots Are Traps for Duplicated Genes and Sources of Adaptations,"Fares, 2017",3,S. cerevisiae,,5,,,,,,B2,133
25,,https://jb.asm.org/content/early/2019/01/23/JB.00538-18.abstract,Mechanisms of resistance to the contact-dependent bacteriocin CdzC/D in Caulobacter crescentus,"García-Bayona, 2019",3,Caulobacter crescentus,,,,,,,,B2,146
12,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-017-1223-1,Millstone: software for multiplex microbial genome analysis and engineering,"Goodman, 2017",3,E. coli,haploid,,,,,,,B2,162
17,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-018-0653-z,Reframing gene essentiality in terms of adaptive flexibility,"Guzman, 2018",3,E. coli,,,,,,,,B2,170
8,,https://mbio.asm.org/content/mbio/8/1/e02124-16.full.pdf,RelA Mutant Enterococcus faecium with Multiantibiotic Tolerance Arising in an Immunocompromised Host,"Honsa, 2017",3,Enterococcus faecium,,,,,,,,B2,188
24,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01256/full,"Evolution of Acinetobacter baumannii In Vivo: International Clone II, More Resistance to Ceftazidime, Mutation in ptk","Hua, 2017",3,Acinetobacter baumannii,,,,,,,,B2,195
19,,https://pdfs.semanticscholar.org/3696/824be2e946acb498016513cae9ab9ba287bf.pdf,Experimental evolution of modern Escherichia coli harboring and ancient Elongation Factor gene,"Kacar, 2016",3,E. coli,,,,,,,,B2,213
15,,https://aem.asm.org/content/84/12/e00197-18.short,Genomic and Transcriptomic Insights into How Bacteria Withstand High Concentrations of Benzalkonium Chloride Biocides,"Kim, 2018",3,P. aeruginosa,,,,,,,,B2,230
24,,https://www.biorxiv.org/content/10.1101/542548v1.abstract,Chemical-genetic profiling reveals cross-resistance and collateral sensitivity between antimicrobial peptides,"Kintses, 2019",3,E. coli,,,,,,,,B2,232
20,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24024,Experimental Evolution of a Bacterial Symbiont to its Host Environment,"Klein, 2018",3,Aeromonas veronii,,,,,,,,B2,233
19,,https://wwwnc.cdc.gov/eid/article/25/3/pdfs/18-0894.pdf,SNP-IT Tool for Identifying Subspecies and Associated Lineages of Mycobacterium tuberculosis Complex,"Lipworth, 2019",3,Mycobacterium tuberculosis,,,,,,,,B2,277
7,,https://www.sciencedirect.com/science/article/pii/S1931312818302774,Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis,"Martino, 2018",3,Lactobacillus,,,,,,,,B2,290
14,,https://aem.asm.org/content/84/19/e00823-18.abstract,Multiple Optimal Phenotypes Overcome Redox and Glycolytic Intermediate Metabolite Imbalances in Escherichia coli pgi Knockout Evolutions,"McCloskey, 2018",3,E. coli,haploid,,,,,Table S7.,,B2,293
18,,https://conservancy.umn.edu/handle/11299/201140,Effects of deletion mutations in aguA on fitness and survival of Pseudomonas aeruginosa cystic fibrosis isolates,"McCurtain, 2018",3,P. aeruginosa,,,,,,,,B2,296
25,,https://www.nature.com/articles/s41467-018-07235-5,Microevolution of Neisseria lactamica during nasopharyngeal colonisation induced by controlled human infection,"Pandey, 2018",3,Neisseria lactamica,,,,,,,,B2,335
19,,https://aac.asm.org/content/early/2019/01/24/AAC.02313-18.abstract,Emergence of Neisseria gonorrhoeae Strains Harboring a Novel Combination of Azithromycin-attenuator Mutations,"Pham, 2019",3,Neisseria gonorrhoeae,,,,,,,,B2,345
21,,https://escholarship.org/uc/item/056243b5,ALE Analytics: A Software Pipeline and Web Platform for the Analysis of Microbial Genomic Data from Adaptive Laboratory Evolution Experiments,"Phaneuf, 2016",3,-,,,,,,,,B2,347
15,,https://academic.oup.com/nar/article/47/D1/D1164/5144149,ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation,"Phaneuf, 2018",3,-,,,,,,,,B2,348
19,,https://www.biorxiv.org/content/10.1101/320747v1.abstract,ALEdb 1.0: A Database of Mutations from Adaptive Laboratory Evolution,"Phaneuf, 2018",3,-,,,,,,,,B2,349
16,,https://www.sciencedirect.com/science/article/pii/S1097276518308475,Inhibiting the Evolution of Antibiotic Resistance,"Ragheb, 2019",3,-,,,,,,190821 130p.,,B2,360
6,,https://jb.asm.org/content/197/7/1249.short,devI Is an Evolutionarily Young Negative Regulator of Myxococcus xanthus Development,"Rajagopalan, 2015",3,Mxyococcus xanthus,,,,,,,,B2,363
4,,https://aem.asm.org/content/83/13/e00410-17.abstract,Laboratory Evolution to Alternating Substrate Environments Yields Distinct Phenotypic and Genetic Adaptive Strategies,"Sandberg, 2017",3,E. coli,,,,,,,,B2,394
18,,https://escholarship.org/uc/item/23f4m0md,Exploring the Adaptive Capabilities of Escherichia coli: Perturbations from a Typical Life Cycle and Resulting Evolutionary Compensations,"Sandberg, 2018",3,E. coli,,,,,,,,B2,395
17,,https://www.biorxiv.org/content/10.1101/325993v4.abstract,Genome-wide discovery of epistatic loci affecting antibiotic resistance using evolutionary couplings,"Schubert, 2018",3,Neisseria gonorrhoeae,,,,,,,Biorxiv manuscript of another paper in this table.,B2,409
17,,https://www.nature.com/articles/s41564-018-0309-1,Genome-wide discovery of epistatic loci affecting antibiotic resistance in Neisseria gonorrhoeae using evolutionary couplings,"Schubert, 2019",3,Neisseria gonorrhoeae,,,,,,,,B2,410
16,,https://www.biorxiv.org/content/10.1101/096206v1.abstract,Rampant Reverse Evolution towards Specialization in Commensal Bacteria Colonizing the Gut,"Sousa, 2016",3,E. coli,,,,,,,,B2,430
18,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.03192/full,Predictable Molecular Adaptation of Coevolving Enterococcus faecium and Lytic Phage EfV12-phi1,"Wandro, 2019",3,Enterococcus faecium,,,,,,,,B2,477
24,,https://link.springer.com/article/10.1007/s00253-018-09588-9,Evolutionary engineering of Escherichia coli for improved anaerobic growth in minimal medium accelerated lactate production,"Wang, 2019",3,E. coli,,,,,,,,B2,480
21,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365430/,Comparative Genome Analysis of Lactococcus lactis Indicates Niche Adaptation and Resolves Genotype/Phenotype Disparity,"Wels, 2019",3,Lactococcus lactis,,,,,,,,B2,489
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1001186,"Genetic Basis of Growth Adaptation of Escherichia coli after Deletion of pgi, a Major Metabolic Gene","Charusanti, 2010",3,E.coli,haploid,10 - aledb: https://aledb.org/mutations/?ale_experiment_id=69,50 days,2 to 5 mutations arose during adaptation,glucose M9 minimal medium,"table of mutations detected in the clones from 9 of the 10 populations, whole genome sequencing to show mutation.","Paper says only 9 strains were sequenced (""Strain pgi_gluc9 was not sequenced""), but mutation data for all 10 were on aledb: https://aledb.org/mutations/?ale_experiment_id=69",A ,70
,,https://www.sciencedirect.com/science/article/pii/S1096717618300636?via%3Dihub#ab0010,Adaptation to the coupling of glycolysis to toxic methylglyoxal production in tpiA deletion strains of Escherichia coli requires synchronized and counterintuitive genetic changes,"McCloskey, 2018 ",3,E. coli,haploid,,,,,,_ Duplicate data.,A ,294
,,https://www.sciencedirect.com/science/article/pii/S109671761830017X?via%3Dihub,Adaptive laboratory evolution resolves energy depletion to maintain high aromatic metabolite phenotypes in Escherichia coli strains lacking the Phosphotransferase System,"McCloskey, 2018 ",3,E.coli,haploid,,,,,,_ Duplicate data.,A ,295
,,https://www.nature.com/articles/s41564-018-0340-2,Pseudogene repair driven by selection pressure applied in experimental evolution,"Anand, 2019",3,E. coli,haploid,,,,,,,A,11
,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717616302348#s0105,Increased production of L-serine in Escherichia coli through Adaptive Laboratory Evolution,"Mundhada, 2017",3,E. coli K-12 MG1655 ,haploid,,,,,,Experiment SER,A,320
,,https://www.nature.com/articles/nature18959#methods,"Tempo and mode of genome evolution in a 50,000 generation experiment","Tenaillon, 2016",3,E. coli B,Haploid,,,,,,Experiment LTEE.,A,454
,191104,https://www-jstor-org.uml.idm.oclc.org/stable/2418718?seq=1#metadata_info_tab_contents,The input from population genetics: the new ecological genetics,"Antonovics, 1976",4,N/A,,,,,,,"_ Wrong spp.
_ 191106: Scanned for duplicate & wrong species.
_ Eliminated because it's a review paper.",RL,13
,191104,https://books.google.ca/books?hl=en&lr=&id=jS0TDAAAQBAJ&oi=fnd&pg=PR9&ots=ClUnzcNBEm&sig=MzNVJA7EIkyHzqWYYloSo5gRik4&redir_esc=y#v=onepage&q&f=false,Selection: The Mechanism of Evolution,"Bell, 1997",4,N/A,,,,,,,"_ Book.
_ 191106: Scanned for duplicate & wrong species.
",RL,43
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fismej.2015.241,Genome-wide selective sweeps and gene-specific sweeps in natural bacterial populations,"Bendall, 2016",4,Various,,,,,,,"_ No ALE  .
_ 191106: Scanned for duplicate & wrong species.",RL,45
,191104,https://doi-org.uml.idm.oclc.org/10.1016%2Fj.tree.2013.02.009,Experimental coevolution of species interactions,"Brockhurst, 2013",4,N/A,,,,,,,"_ review.
_ 191106: Scanned for duplicate & wrong species.",RL,56
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature07892,The Beagle in a bottle,"Buckling, 2009",4,N/A,,,,,,,"_ review.
_ 191106: Scanned for duplicate & wrong species.",RL,59
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fismej.2009.158,AMD biofilms: using model communities to study microbial evolution and ecological complexity in nature,"Denef, 2010",4,N/A,,,,,,,"_ review.
_ 191106: Scanned for duplicate & wrong species.",RL,108
,191104,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1510839112,Recombinant transfer in the basic genome of Escherichia coli,"Dixit, 2015",4,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No ALE.
_ 191108: Screened.",RL,116
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fnrg1088,Evolution experiments with microorganisms: the dynamics and genetic bases of adaptation,"Elena, 2003",4,N/A,,,,,,,"_ review.
_ 191106: Scanned for duplicate & wrong species.",RL,127
,191104,https://doi-org.uml.idm.oclc.org/10.1371%2Fjournal.pbio.1002185,From here to eternity–the theory and practice of a really long experiment,"Fox, 2015",4,N/A,,,,,,,"_ ""Community Page"": ""forum for organizations and societies to highlight their efforts to enhance the dissemination and value of scientific knowledge.""
_ 191106: Scanned for duplicate & wrong species.",RL,141
,191104,https://www-ucpress-edu.uml.idm.oclc.org/book/9780520261808/experimental-evolution,"Experimental Evolution: Concepts, Methods, and Applications of Selection Experiments","Garland, 2009",4,N/A,,,,,,,"_ Book.
_ 191106: Scanned for duplicate & wrong species.
",RL,149
,191104,https://doi-org.uml.idm.oclc.org/10.1534%2Fgenetics.116.193565,Evolution of mutation rates in rapidly adapting asexual populations,"Good, 2016",4,N/A,,,,,,,"_ Mathematical model.
_ 191106: Scanned for duplicate & wrong species.",RL,160
,191104,https://books.google.ca/books?hl=en&lr=&id=DmqYDwAAQBAJ&oi=fnd&pg=PA27&ots=LCPdXIOWkY&sig=q6Ck4Df7hL5dNoaAx3iAXK8atEo&redir_esc=y#v=onepage&q&f=false,40 Years of Evolution: Darwin’s Finches on Daphne Major Island,"Grant, 2014",4,N/A,,,,,,,"_ Book.
_ 191106: Scanned for duplicate & wrong species.
",RL,163
,191104,https://doi-org.uml.idm.oclc.org/10.1186%2Fs12862-016-0733-x,Metabolic modelling in a dynamic evolutionary framework predicts adaptive diversification of bacteria in a long-term evolution experiment.,"Großkopf, 2016",4,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ Computational work.
_ 191108: Screened.",RL,169
,191104,https://www.frontiersin.org/articles/10.3389/fmicb.2016.01444/full,Experimental evolution as an underutilized tool for studying beneficial animal–microbe interactions,"Hoang, 2016",4,N/A,,,,,,,"_ Review.
_ 191107: Scanned for duplicate & wrong species.",RL,185
,191106,Book,Experimental Evolution and the Nature of Biodiversity,"Kassen, 2014",4,N/A,,,,,,,"_ Book.
_ 191107: Scanned for duplicate & wrong species.
",RL,219
,191106,https://doi-org.uml.idm.oclc.org/10.1016%2Fj.tree.2012.06.001,Experimental evolution,"Kawecki, 2012",4,N/A,,,,,,,"_ Review.
_ 191107: Scanned for duplicate & wrong species.",RL,220
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature14279,Quantitative evolutionary dynamics using high-resolution lineage tracking,"Levy, 2015",4,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ Incorrect framework.
_ 191108: Screened.",RL,268
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.96.22.12638,Calibrating bacterial evolution,"Ochman, 1999",4,Various,,,,,,,"_ No ALE.
_ 191107: Scanned for duplicate & wrong species.",RL,327
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1314561111,Recursive genomewide recombination and sequencing reveals a key refinement step in the evolution of a metabolic innovation in Escherichia coli,"Quandt, 2014",4,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Incorrect framework.
_ 191108: Screened.",RL,356
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1154456,Predictive behavior within microbial genetic networks,"Tagkopoulos, 2008",4,E. coli,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ In silico.
_ 191108: Screened.",RL,444
,191106,https://doi-org.uml.idm.oclc.org/10.1016%2FS0923-2508%2800%2901163-3,Second-order selection in bacterial evolution: selection acting on mutation and recombination rates in the course of adaptation,"Tenaillon, 2001",4,N/A,,,,,,,"_ Review.
_ 191108: Scanned for duplicate & wrong species.",RL,447
,191106,https://d.lib.msu.edu/etd/3390/datastream/OBJ/View/,Experimental Evolution and Ecological Consequences: New Niches and Changing Stoichiometry,"Turner, 2015",4,,,,,,,,"_ PhD thesis.
_ 191108: Screened.",RL,466
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fismej.2016.45,Challenges in microbial ecology: building predictive understanding of community function and dynamics,"Widder, 2016",4,,,,,,,,"_ Review.
_ 191108: Screened.",RL,494
,,https://link-springer-com.uml.idm.oclc.org/content/pdf/10.1023/A:1000675521611.pdf,Evolution of competitive fitness in experimental populations of Escherichia coli: what makes one genotype a better competitor than another?,"Lenski, 1998",4,,,,,,,,No ALE,MD,261
,,https://academic-oup-com.uml.idm.oclc.org/biostatistics/article/5/4/557/275197,Circular binary segmentation for the analysis of array-based DNA copy number data,"Olshen, 2004",4,N/A,,,,,,,"Introduced circular binary segmentation - an algorithm to translate noisy
intensity measurements into regions of equal copy number to measure copy number in a genome.",JB,9
,,https://www-nature-com.uml.idm.oclc.org/articles/nrg3564,Genome dynamics during experimental evolution,"Barrick, 2013",4,N/A,,,,,,,No ALE,JB,31
,,https://academic-oup-com.uml.idm.oclc.org/nar/article/40/10/e72/2411059,Summarizing and correcting the GC content bias in high-throughput sequencing,"Benjamini, 2012",4,N/A,,,,,,,Introduced a model to correct GC content bias.,JB,46
,,https://www-nature-com.uml.idm.oclc.org/articles/nmeth.1363,BreakDancer: an algorithm for high-resolution mapping of genomic structural variation,"Chen, 2009",4,N/A,,,,,,,_ Algorithm.,JB,73
,,https://www-pnas-org.uml.idm.oclc.org/content/110/19/7766,Evolutionary remodeling of global regulatory networks during long-term bacterial adaptation to human hosts,"Damkiær, 2013",4,P. aeruginosa,,,,,,,,JB,95
,,https://academic-oup-com.uml.idm.oclc.org/bioinformatics/article/27/15/2156/402296,The variant call format and VCFtools,"Danecek, 2011",4,N/A,,,,,,,_ Generic format for storing DNA polymorphism.,JB,96
,,https://link-springer-com.uml.idm.oclc.org/protocol/10.1007%2F978-1-4939-0554-6_12#Sec5,Identification of Mutations in Laboratory-Evolved Microbes from Next-Generation Sequencing Data Using breseq,"Deatherage, 2014",4,N/A,,,,,,,_ Introduced breseq.,JB,101
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2011-12-1-r6,Identification of fusion genes in breast cancer by paired-end RNA-sequencing,"Edgren, 2011",4,H. sapiens,diploid,,,,,,Not ALE,JB,124
,,https://academic-oup-com.uml.idm.oclc.org/bioinformatics/article/27/14/1922/194689,FusionMap: detecting fusion genes from next-generation sequencing data at base-pair resolution,"Ge, 2011",4,N/A,,,,,,,_ Aligner to detect fusion genes.,JB,153
,,https://www.nature.com/articles/nature10762,Clonal evolution in cancer,"Greaves, 2012",4,,,,,,,,,JB,166
,,https://refubium.fu-berlin.de/handle/fub188/18686,Mason – a Read Simulator for Second Generation Sequencing Data,"Holtgrewe, 2010",4,N/A,,,,,,,"Introduced ""Mason"" - a read simulator software for Illumina, 454 and Sanger reads.",JB,186
,,https://academic-oup-com.uml.idm.oclc.org/bioinformatics/article/26/12/i350/286093/,Next-generation VariationHunter: combinatorial algorithms for transposon insertion discovery,"Hormozdiari, 2010",4,N/A,,,,,,,_ Combinatorial algorithms.,JB,191
,,https://www.sciencedirect.com/science/article/pii/S0022283609011917?via%3Dihub,Genome sequences of Escherichia coli B strains REL606 and BL21(DE3),"Jeong, 2009",4,E. coli,haploid,,,,,,Not ALE,JB,205
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2011-12-8-r72,TopHat-Fusion: an algorithm for discovery of novel fusion transcripts,"Kim, 2011",4,N/A,,,,,,,_ Algorithm.,JB,227
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2013-14-4-r36,"TopHat2: accurate alignment of transcriptomes in the presence of insertions, deletions and gene fusions","Kim, 2013",4,N/A,,,,,,,_ Transcriptome alignment software.,JB,228
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2004-5-2-r12,Versatile and open software for comparing large genomes,"Kurtz, 2004",4,N/A,,,,,,,"Introduced ""MUMmer"" - handles comparisons of large eukaryotic genomes at varying evolutionary distances.",JB,242
,,https://science-sciencemag-org.uml.idm.oclc.org/content/342/6156/357,"
Genomically Recoded Organisms Expand Biological Functions","Lajoie, 2013",4,E. coli,haploid,,,,,,_ Not ALE.,JB,248
,,https://www-nature-com.uml.idm.oclc.org/articles/nmeth.1923,Fast gapped-read alignment with Bowtie 2,"Langmead, 2012",4,N/A,,,,,,,"_ Introduced ""Bowtie 2"" - sequence aligner.",JB,252
,,https://www-pnas-org.uml.idm.oclc.org/content/109/41/E2774,Rate and molecular spectrum of spontaneous mutations in the bacterium Escherichia coli as determined by whole-genome sequencing,"Lee, 2012",4,E. coli,haploid,,,,,,,JB,257
,,https://academic-oup-com.uml.idm.oclc.org/bioinformatics/article/25/16/2078/204688,The Sequence Alignment/Map format and SAMtools,"Li, 2009",4,N/A,,,,,,,_ Generic alignment format for storing read alignments against reference sequences.,JB,269
,,https://www-nature-com.uml.idm.oclc.org/articles/nbt.1904,Structural variation in two human genomes mapped at single-nucleotide resolution by whole genome de novo assembly,"Li, 2011",4,H. sapiens,,,,,,,_ Not ALE.,JB,270
,,https://mmbr-asm-org.uml.idm.oclc.org/content/mmbr/62/3/725.full.pdf,Insertion sequences,"Mahillon, 1998",4,Various,,,,,,,Not ALE,JB,286
