Page Number of Search (B2),Who analyzed (if paper useful)?,Link,Paper Name,"Author, Year of Publication","Usefulness (1=useful, 2=promising, 3=unpromising)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. total muts,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")"
1,,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/abs/10.1002/bit.27004,Parallel experimental evolution reveals a novel repressive control of GalP on xylose fermentation in E. coli,"Kurgan, 2019","2 - breseq data is there, just need to look for it. Email: wangxuan@asu.edu",E. coli ATCC,haploid,,~ 60 generations,,,AM1 medium (pH 7.0) supplemented w/ 10% xylose (w/v) and 100 mM potassium bicarbonate. Stressor: Xylose.,,,B6
1,,https://www.biorxiv.org/content/10.1101/531178v2.full,"Inverted Regulation of Multidrug Efflux Pumps, Acid Resistance and Porins in Benzoate-Evolved E. coli K-12","Moore, 2019",3 - Resequenced Creamer2016,E. coli K-12  ,haploid,[Check paper to see how many - From Table S2: Only 4 are useful (> 3 reps)],2000 [2000 - some pops were only analyzed in earlier timepoints],,,LBK. Stressors: Benzoate.,Table S2 has all mutations,,B6
1,,https://www.biorxiv.org/content/biorxiv/early/2019/04/24/616128.full.pdf,A bifunctional ATPase drives tad pilus extension and retraction,"Ellison, 2019",3 - Species currently not considered for model,Caulobacter crescentus,,,,,,,,,B6
2,,https://www.biorxiv.org/content/10.1101/581611v2.full,Evolutionary pathways to antibiotic resistance are dependent upon environmental structure and bacterial lifestyle,"Santos-Lopez, 2019",3 - Species currently not considered for model,Acinetobacter baumannii,haploid,22,~ 80 (12 days x 6.64 gen/day),,,"_ Modified M9 (M9+):  0.1 mM CaCl2, 1 mM MgSO4, 42.2 mM Na2HPO4, 22 mM KH2PO4, 21.7 mM NaCl, 18.7 mM NH4Cl, & 11.1 mM glu, supplemented w 20 mL/L MEM essential aa's (Gibco 11130051), 10 mL/L MEM nonessential aa's (Gibco 11140050), & 1 mL each of trace mineral solutions A, B, and C (Corning 25021-3Cl). 
_ Of the 22 pops: 6 control (no antibiotics), 6 (12 days of 0.5 x MIC), & 10 (0.5, 1, 2, 4 x MIC - 3 days each).",,,B6
2,,https://repositories.lib.utexas.edu/handle/2152/74215,Directed evolution of antimutator E. coli,"Leon, 2018",3 - plasmids,E. coli BW25113,,[5],[~ 350],,,,,,B6
2,,https://www.biorxiv.org/content/biorxiv/early/2019/04/12/600809.full.pdf,Destabilization of the Tumor-Inducing Plasmid from an Octopine-Type Agrobacterium tumefaciens Lineage Drives a Large Deletion in the Co-Resident At Megaplasmid,"Barton, 2019",3 - Species currently not considered for model,Agrobacterium tumefaciens,,,,,,,,,B6
2,,http://msb.embopress.org/content/msb/15/4/e8462.full.pdf,Enzyme promiscuity shapes adaptation to novel growth substrates,"Guzman, 2019",3 - only 2 populations,E. coli K-12 MG1655,,,,,,,,,B6
2,,https://msphere-asm-org.uml.idm.oclc.org/content/msph/4/2/e00627-18.full.pdf,Loss and Gain in the Evolution of the Salmonella enterica Serovar Gallinarum Biovar Pullorum Genome,"Hu, 2019",3 - Species currently not considered for model,S. Pullorum,,,,,,,,,B6
2,,https://www.biorxiv.org/content/biorxiv/early/2019/03/19/581611.full.pdf,Biofilm-dependent evolutionary pathways to antibiotic resistance,"Santos-Lopez, 2019","3 - duplicate of ""Evolutionary pathways to antibiotic resistance are dependent upon environmental structure and bacterial lifestyle""",Acinetobacter baumannii,,,,,,,,"Duplicate of ""Evolutionary pathways to antibiotic resistance...""",B6
2,"190626: copied to ""For contact"".",https://www.biorxiv.org/content/10.1101/575134v3,Non-lethal oxidative stress boosts bacterial survival and evolvability under lethal exposure,"Rodriguez-Rojas, 2019","2 - did breseq, should have mutation data (not found in Supp Material). Email: a.rojas@fu-berlin.de",E. coli K-12 MG1655 ,,5,~ 50,,,"LB, stressor: H2O2.",,,B6
2,,https://www.biorxiv.org/content/biorxiv/early/2019/03/08/571505.full.pdf,Chromosomal barcoding of E. coli populations reveals lineage 2 diversity dynamics at high resolution,"Lerner, 2019",3 - plasmids,E. coli K-12 MG1655 ,haploid,70 (14 pops x 5 conditions),~ 420,,,"Low’ chloramphenicol (CMP) (1-3 Pg/mL), ‘ultra-low’ CMP (0.1 Pg/mL), ‘low’ trimethoprim (TMP) (0.1-1.2 Pg/mL), ‘ultra-low’ TMP (0.01-0.1 Pg/ml), and ‘no drug’. 37 °C, supplemented M9 medium (0.2% glu, 1mM MgSO4, 0.1% casamino acids, 0.5 mg/ml thiamin). ",,,B6
2,,https://www.biorxiv.org/content/10.1101/568709v1.full,Low Mutational Load Allows for High Mutation Rate Variation in Gut Commensal Bacteria,"Ramiro, 2019",3 - mice,E. coli,,,,,,,,,B6
2,,https://www.biorxiv.org/content/10.1101/560037v2.full,Lytic bacteriophage have diverse indirect effects in a synthetic cross-feeding community,"Fazzino, 2019",3 - viral,E. coli,,,,,,,,,B6
3,,https://www-nature-com.uml.idm.oclc.org/articles/s41598-019-38925-9,"Continuous culture of E. coli, under selective pressure by a novel antimicrobial complex, does not result in development of resistance","Screen (A = ALEdb, B2 = Feb Barrick search, B6 = June Barrick search, ",3 - already analyzed,E. coli,,,,,,,,,B6
3,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6390766/,SNP-IT Tool for Identifying Subspecies and Associated Lineages of Mycobacterium tuberculosis Complex,"Lipworth, 2019",3 - Species currently not considered for model,Mycobacterium spp.,,,,,,,,,B6
3,,https://www.biorxiv.org/content/biorxiv/early/2019/02/17/552034.full.pdf,SEDS–bPBP pairs direct lateral and septal peptidoglycan synthesis in Staphylococcus aureus,"Reichmann, 2019",3 - Species currently not considered for model,Staphylococcus aureus,,,,,,,,,B6
3,,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=7773&context=etd#page=26,"Methods for analysis of derivative strains from
metabolic evolution experiments","Boggess, 2018",3 - no replicates,E. coli,,,,,,,,,B6
3,,https://academic.oup.com/gbe/article/11/3/814/5315514,Evolutionary Changes after Translational Challenges Imposed by Horizontal Gene Transfer,"Bedhomme, 2019",3 - plasmids,E. coli,,"3 founders, 6 replicates each",1000,,,"For each founder: 3 reps had 25 μg/mL chloramphenicol, 3 had 20 μg/mL ampicillin. Stressors: Chloroamphenicol, ampicillin.

",Table S1,,B6
3,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000123,Structural basis of DSF recognition by its receptor RpfR and its regulatory interaction with the DSF synthase RpfF,"Waldron, 2019",3 - Species currently not considered for model,B. cenocepacia ,,,,,,,,,B6
3,,https://www-nature-com.uml.idm.oclc.org/articles/s41564-018-0340-2,Pseudogene repair driven by selection pressure applied in experimental evolution,"Anand, 2019",3 - already analyzed,,,,,,,,,,B6
3,,https://jb.asm.org/content/201/8/e00538-18.abstract,Mechanisms of resistance to the contact-dependent bacteriocin CdzC/D in Caulobacter crescentus,"Garcia-Bayona, 2019",3 - Species currently not considered for model,Caulobacter crescentus,,,,,,,,,B6
4,,https://aac-asm-org.uml.idm.oclc.org/content/63/4/e02313-18,Emergence of Neisseria gonorrhoeae Strains Harboring a Novel Combination of Azithromycin-Attenuating Mutations,"Pham, 2019",3 - Species currently not considered for model,N. gonorrhoeae,,,,,,,,,B6
4,,https://jb-asm-org.uml.idm.oclc.org/content/201/7/e00686-18,RNase HIII is important for Okazaki fragment processing in Bacillus subtilis,"Randall, 2019",3 - Species currently not considered for model,Bacillus subtilis,,,,,,,,,B6
4,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365430/,Comparative Genome Analysis of Lactococcus lactis Indicates Niche Adaptation and Resolves Genotype/Phenotype Disparity,"Wels, 2019",3 - Species currently not considered for model,Lactococcus lactis ,,,,,,,,,B6
4,,https://www.mdpi.com/2073-4425/10/1/63,Genomic and Transcriptomic Changes That Mediate Increased Platinum Resistance in Cupriavidus metallidurans,"Ali, 2019",3 - Species currently not considered for model,Cupriavidus metallidurans,,,,,,,,,B6
4,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6370648/,NADH dehydrogenases in P. aeruginosa growth and virulence,"Torres, 2019",3 - no ALE,P. aeruginosa,,,,,,,,,B6
4,"190626: copied to ""For contact"".",https://link.springer.com/article/10.1007/s00253-018-09588-9,Evolutionary engineering of E. coli for improved anaerobic growth in minimal medium accelerated lactate production,"Wang, 2019",2 - Fig. 6 means breseq data is present. Email: chentao@tju.edu.cn,E. coli K-12 (W3110),,3,1300,,,"M9 (2.5% glu (w/v), 37 °C, 200 rpm. After 132 gens: glu conc. increases to 5% (w/v)). Stressor: glucose.",,,B6
4,,https://aem-asm-org.uml.idm.oclc.org/content/85/5/e02792-18,Experimental Evolution of E. coli K-12 in the Presence of Proton Motive Force (PMF) Uncoupler Carbonyl Cyanide m-Chlorophenylhydrazone Selects for Mutations Affecting PMF-Driven Drug Efflux Pumps,"Griffith, 2019",3 - already analyzed,,,,,,,,,,B6
4,,https://cloudfront.escholarship.org/dist/prd/content/qt23f4m0md/qt23f4m0md.pdf,"Exploring the Adaptive Capabilities of E. coli: Perturbations from a Typical Life Cycle and Resulting Evolutionary Compensations
","Sandberg, 2018",3 - the only unanalyzed study used viral HGT. Other 2 were already analyzed,E. coli,,,,,,,,,B6
4,,https://aem-asm-org.uml.idm.oclc.org/content/85/5/e02792-18,Experimental evolution of E. coli K-12 in the presence of PMF uncoupler CCCP selects for mutations affecting PMF-driven drug efflux pumps,"Griffith, 2018",3 - already analyzed,,,,,,,,,"Duplicate of ""Experimental Evolution of E. coli K-12 in the Presence of Proton Motive Force...""",B6
4,,https://www.biorxiv.org/content/biorxiv/early/2019/02/28/262691.full-text.pdf,Effect of environment on the evolutionary trajectories and growth characteristics of antibioticresistant E. coli mutants,"Hubbard, 2019",2 - 24h period - might be too short? Supp Table 1 - Aleeza.,E. coli 10129,,3,,,,"Sub-inhibitory concentrations (4 µg/ml) of AMC in M9, ISO or LB broth. ",,,B6
5,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-018-0653-z,Reframing gene essentiality in terms of adaptive flexibility,"Guzman, 2018",3- Review paper of his LTEE experiment,,,,,,,,,,B6
5,,https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/24024/Final%20Thesis-Klein.pdf?sequence=1&isAllowed=y,Experimental Evolution of a Bacterial Symbiont to its Host Environment,"Klein, 2018",3 - Species currently not considered for model,Aeromonas veronii,,,,,,,,,B6
5,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.03192/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Microbiology&id=428782,Predictable molecular adaptation of coevolving Enterococcus faecium and lytic phage EfV12-phi1,"Wandro, 2018",3 - Species currently not considered for model, Enterococcus faecium,,,,,,,,,B6
5,,https://www-nature-com.uml.idm.oclc.org/articles/s41564-018-0309-1,Genome-wide discovery of epistatic loci affecting antibiotic resistance in Neisseria gonorrhoeae using evolutionary couplings,"Schubert, 2019",3 - Species currently not considered for model,Neisseria gonorrhoeae,,,,,,,,,B6
5,,https://conservancy.umn.edu/bitstream/handle/11299/201140/McCurtain_umn_0130E_19666.pdf?sequence=1&isAllowed=y,Effects of deletion mutations in aguA on fitness and survival of P. aeruginosa cystic fibrosis isolates,"McCurtain, 2018",3 - no ALE,P. aeruginosa,,,,,,,,,B6
5,"190626: copied to ""For contact"".",https://uh-ir.tdl.org/uh-ir/bitstream/handle/10657/3375/KARKARE-DISSERTATION-2018.pdf?sequence=1,An Exploration of Fitness Landscapes: Theory and Experiments,"Karkare, 2018","2 - should have mutation data. Thesis, so data probably unavailable yet. But still, might as well ask. Email (1st-mentioned advisor, not mentioned as corresponding email): tfcooper@uh.edu",E. coli,,2 founders x 3 replicates each x 4 envirs,8000,,,"Davis minimal medium supplemented w/: Lac only (L), daily alternating bt glu & lac (G/L), or 2,000-gen alternating starting w/ glu (GL) or lac (LG).",,,B6
5,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1097276518308475,Inhibiting the evolution of antibiotic resistance,"Ragheb, 2019",3 - Species currently not considered for model,,,,,,,,,,B6
5,"190626: copied to ""Ask, contact, & contacted"".",https://www-nature-com.uml.idm.oclc.org/articles/s41559-018-0781-2,Epigenetic gene silencing alters the mechanisms and rate of evolutionary adaptation,"Stajic, 2019","2 - Figure S6, but it's only for mutations related to the gene studied. WGS & breseq done, so author should have mutation data. Email: lars.jansen@bioch.ox.ac.uk",S. cerevisiae,,3 founders x 8 replicates per founder. Exp performed 3 times independently.,90,,,1 ml liquid CSM supplemented w/ 0.05% 5-FOA.,,,B6
5,,https://www.nature.com/articles/s41467-018-07235-5,Microevolution of Neisseria lactamica during nasopharyngeal colonisation induced by controlled human infection,"Pandey, 2018",3 - Species currently not considered for model,Neisseria lactamica,,,,,,,,,B6
5,,https://academic.oup.com/nar/article/47/D1/D1164/5144149,ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation,"Phaneuf, 2019",3 - didn't do any experiments themselves,NA (introduced database),,,,,,,,,B6
12,,https://mbio.asm.org/content/8/5/e01341-17.short,Associations among Antibiotic and Phage Resistance Phenotypes in Natural and Clinical E. coli Isolates,"Allen, 2017",3-whole genome sequencing was done but this thesis doesn't look like it deals with frequencies,E. coli,haploid,94 isolates,,,,lysogeny broth (LB) supplemented with 2 mM CaCl2 and 2 mM MgSO4,,,B2
5,,https://academic.oup.com/nar/article/43/1/295/2902675,"The genome-scale interplay amongst xenogene silencing, stress response and chromosome architecture in E. coli","Srinivasan, 2014",3-Review paper,E. coli,haploid,,,,,,,,B2
14,,https://aem.asm.org/content/84/19/e00823-18.abstract,Multiple Optimal Phenotypes Overcome Redox and Glycolytic Intermediate Metabolite Imbalances in E. coli pgi Knockout Evolutions,"McCloskey, 2018_2",3 - Used data from McCloskey2018,E. coli,haploid,,,,,,Table S7.,,B2
14,,https://msphere.asm.org/content/2/3/e00059-17.abstract,Genomewide Mutational Diversity in E. coli Population Evolving in Prolonged Stationary Phase,"Chib, 2017",3-not E.coli or S. cerevisea,E. coli,haploid,5,,,64% SNPS,,,,B2
13,,https://academic.oup.com/mbe/article/35/1/180/4563780,Recombination Alters the Dynamics of Adaptation on Standing Variation in Laboratory Yeast Populations,"Kosheleva, 2017",3-Not E. coli or S. cerevisiae,S. cerevisiae,haploid and diploid,36 haploid and 36 diploid,"12 pop at sexual crossing 120 gen, 12 pop at sexual crossing 40gen, 12 pop a sexual.",,,,,,B2
21,,https://www.biorxiv.org/content/10.1101/460451v1.abstract,Modulation of rpoS fitness by loss of cpdA activity during stationary-phase in E. coli,"Chib, 2018",3-Not E. coli or S. cerevisiae,E. coli,,,,,,,,,B2
10,,https://www.nature.com/articles/s41467-017-02323-4,Sexual recombination and increased mutation rate expedite evolution of E. coli in varied fitness landscapes,"Peabody, 2017",3-Not E. coli or S. cerevisiae,E. coli,haploid,"4, 2 sexual, 2 asexual",,,,20 μl frozen stock on LB media,,,B2
18,,https://www.biorxiv.org/content/biorxiv/early/2016/12/27/096909.full.pdf,Environment determines evolutionary trajectory in a constrained phenotypic space,"Fraebel, 2016",3-Not E. coli or S. cerevisiae,E. coli,,,,,,,,,B2
4,,https://aem.asm.org/content/83/13/e00410-17.abstract,Laboratory Evolution to Alternating Substrate Environments Yields Distinct Phenotypic and Genetic Adaptive Strategies,"Sandberg, 2017",3-Not E. coli or S. cerevisiae,E. coli,,,,,,,,,B2
3,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006364,Experimental Evolution of Metabolic Dependency in Bacteria,"D'Souza, 2016",3-Not E. coli or S. cerevisiae,E. coli,haploid,,,,,,,,B2
1,,https://www.frontiersin.org/articles/10.3389/fgene.2015.00042/full,Rapid evolution of silver nanoparticle resistance in E. coli,"Graves, 2015",3-Not E. coli or S. cerevisiae,E. coli,haploid,"10 (5 controls, 5 treatment groups)",225,,"At gen. 200: Controls - 63 putative polymorphisms, 9 > a frequency of 0.05, 3 were ancestral and 5 were shared with the treatment populations but were not ancestral. Treatment populations -34 polymorphisms, 12 > a frequency of 0.05, 3 were ancestral and 5 shared with the control populations but not ancestral.",,,,B2
2,,https://www.pnas.org/content/early/2015/05/06/1410631112.short,A tortoise–hare pattern seen in adapting structured and unstructured populations suggests a rugged fitness landscape in bacteria,"Nahum, 2015",3-Not E. coli or S. cerevisiae,E. coli,haploid,3? metapopulations consisting of 96 subpopulations,,,,"200 μL of lysogeny broth (LB–Miller) supplemented with a subinhibitory concentration of tetracycline (0.25 μg/mL). Between transfers, plates were incubated (37 °C) and shaken","Table S1 lists populations and what mutation was recieved in a discriptive manner. (ie, not a table with frequencies, 1/0s, etc)",,B2
18,,https://escholarship.org/uc/item/23f4m0md,Exploring the Adaptive Capabilities of E. coli: Perturbations from a Typical Life Cycle and Resulting Evolutionary Compensations,"Sandberg, 2018",3-Not E. coli or S. cerevisea,E. coli,,,,,,,,,B2
10,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3718-2,Acceleration and suppression of resistance development by antibiotic combinations,"Suzuki, 2017",3-Not E. coli or S. cerevisea,E. coli,haploid,"42 evolved clones, 6 conditions x 7 independantly culture series",,,,,,,B2
11,,https://mro.massey.ac.nz/handle/10179/7395,"Understanding bacterial adaptation to aerobic and anaerobic environments through experimental evolution and whole genome analysis : a thesis presented in fulfilment of the requirements for the degree of Doctor of Philosophy in Genetics at Massey University, Palmerston North, New Zealand","Finn, 2014",3-FRENCH,E. coli,haploid,"3 (aerobic, anaerobic, fluctuating)",4000,588,"89 SNPS, 53 Inserts, 113 Dels, 333 IS elements. (Further breakdown of categories provided on p.93). 107 aerobic, 227 anaerobic, 254 fluctating.",,,,B2
9,,https://www.nature.com/articles/s41467-018-05409-9,Global rewiring of cellular metabolism renders S. cerevisiae Crabtree negative,"Dai, 2018","3-For the same reasons as part 1, line 188",S. cerevisiae,,,,,,,,,B2
20,,https://www.nature.com/articles/s41559-018-0781-2,Epigenetic gene silencing alters the mechanisms and rate of evolutionary adaptation,"Stajic, 2019",3-Development of a method to preserve engineered mutations,S. cerevisiae,,,,,,,,,B2
12,,https://cdn.elifesciences.org/articles/27167/elife-27167-v2.pdf,Genetic variation in adaptability and pleiotropy in budding yeast,"Jerison, 2017",3-Comparative between cerevisiae and paradoxus,S. cerevisiae,haploid,1840 (cross between 2 produced 250 lineages from which 8 populations were established),500,,,,xls provided below,,B2
14,,https://journals.plos.org/plosgenetics/article?rev=1&id=10.1371/journal.pgen.1007324,High mutation rates limit evolutionary adaptation in E. coli,"Sprouffske, 2018",3- Viral,E. coli,haploid,8 populations evolved for each of 4 strains (32 populations),3000,,,,,,B2
23,,https://onlinelibrary.wiley.com/doi/abs/10.1111/gtc.12640,Enhancement of K‐strategy evolution in histidine utilization using a container with compartments,"Komori, 2018",3- Viral,E. coli,,,,,,,,,B2
23,,https://www.biorxiv.org/content/10.1101/327270v1.abstract,Model-driven design and evolution of non-trivial synthetic syntrophic pairs,"Lloyd, 2018",3- viral,E. coli,,,,,,,,,B2
24,,https://www.biorxiv.org/content/10.1101/542548v1.abstract,Chemical-genetic profiling reveals cross-resistance and collateral sensitivity between antimicrobial peptides,"Kintses, 2019",3- Used tn-seq and RNA- seq,E. coli,,,,,,,,,B2
8,,https://www.sciencedirect.com/science/article/pii/S0092867418309073,Reprogramming Yeast Metabolism from Alcoholic Fermentation to Lipogenesis,"Yu, 2018",3- Used both E. coli and S. typhimurium,S. cerevisiea,,,,,,,,,B2
19,,https://uh-ir.tdl.org/handle/10657/3375,An exploration of fitness landscapes: theory and expeirments,"Karkare, 2018",3- Used 2 populations,-,,,,,,,,,B2
15,,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3096,Evolutionary implications of Liebig's law of the minimum: Selection under low concentrations of two nonsubstitutable nutrients,"Warsi, 2017",3- Use a single populations from the LTEE experiment,E. coli,haploid,,,,,,,,B2
7,,https://journals.plos.org/plosgenetics/article?rev=2&id=10.1371/journal.pgen.1006570,Anaerobically Grown E. coli Has an Enhanced Mutation Rate and Distinct Mutational Spectra,"Shewaramani, 2017","3- Use a by product of E. coli to feed S. enterica, but not about E. coli itself",E. coli,haploid,,3546-4500 dependent on lineage environment,282,,Ana/a-robically,,,B2
17,,https://aem.asm.org/content/84/15/e00520-18.short,Experimental Evolution of E. coli K-12 at High pH and with RpoS Induction,"Hamdallah, 2018",3- sequence only 2 populations of E. coli,E. coli,haploid,4,2200,,,,,,B2
19,,https://pdfs.semanticscholar.org/3696/824be2e946acb498016513cae9ab9ba287bf.pdf,Experimental evolution of modern E. coli harboring and ancient Elongation Factor gene,"Kacar, 2016",3- Ruled out due to the study of the antagonism of Psudomonas against E. coli,E. coli,,,,,,,,,B2
17,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-018-0653-z,Reframing gene essentiality in terms of adaptive flexibility,"Guzman, 2018",3- Review paper of his LTEE experiment,E. coli,,,,,,,,,B2
1,,https://aem.asm.org/content/81/5/1775.short,Genetic Tools for the Industrially Promising Methanotroph Methylomicrobium buryatense,,3- Review paper,,,,,,,,,,B2
1,,https://www.sciencedirect.com/science/article/pii/S0092867416306687,Sugar Synthesis from CO2 in E. coli,,3- Review paper,,,,,,,,,,B2
2,,https://www.nature.com/articles/nbt.3879,Engineered bacteria can function in the mammalian gut long-term as live diagnostics of inflammation,,3- Review Paper,E. coli or S. typhimurium,haploid,5 (5 mice colonized),1600 (unsure if this total for 5 mice or individual for 1 mouse.),,,Mouse gut,"Links to sequence reads,",,B2
1,,http://science.sciencemag.org/content/353/6301/819,"Design, synthesis, and testing toward a 57-codon genome",,3- Review paper,,,,,,,,,,B2
2,,https://academic.oup.com/cid/article/65/1/110/3052769,Ceftolozane-Tazobactam for the Treatment of Multidrug-Resistant P. aeruginosa Infections: Clinical Effectiveness and Evolution of Resistance,,3- Review Paper,P. aeruginosa,,,,,,,,,B2
20,,https://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-018-1191-4,Different adaptive strategies in E. coli populations evolving under macronutrient limitation and metal ion limitation,"Warsi, 2018",3- Review paper,E. coli,haploid,,,,,,,,B2
3,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717616302348#s0105,Increased production of L-serine in E. coli through Adaptive Laboratory Evolution,"Mundhada, 2016",3- Review paper,E. coli,haploid,,,,,,,,B2
19,,https://mro.massey.ac.nz/handle/10179/7166,"Effects of aerobic and anaerobic environments on bacterial mutation rates and mutation spectra assessed by whole genome analyses : a thesis presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Genetics at Massey University, Palmerston North, New Zealand","Shewaramani, 2015",3- Review paper,E. coli,,,,,,,,,B2
1,,http://science.sciencemag.org/content/355/6327/826,Antibiotic tolerance facilitates the evolution of resistance,,"3- provide PDF of fitness, no frequencies",,,,,,,,,,B2
6,,https://www.sciencedirect.com/science/article/pii/S0168165616302528,"Complete genome sequence of Lactobacillus plantarum LZ95, a potential probiotic strain producing bacteriocins and B-group vitamin riboflavin",,"3- Propose a database management system, Review article",Lactobacillus plantarum,,,,,,,,,B2
3,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140489,Acinetobacter baumannii Repeatedly Evolves a Hypermutator Phenotype in Response to Tigecycline That Effectively Surveys Evolutionary Trajectories to Resistance,,3- plasmids,Acinetobacter baumannii,,,,,,,,,B2
3,,https://jb.asm.org/content/197/20/3354.short,Whole-Genome Comparison Uncovers Genomic Mutations between Group B Streptococci Sampled from Infected Newborns and Their Mothers,,3- Phenotypic traits were used to do targeted resequencing.. i believe,Streptococcus agalactiae,,,,,,,,,B2
2,,https://www.nature.com/articles/srep16168,Adaptation of the autotrophic acetogen Sporomusa ovata to methanol accelerates the conversion of CO2 to organic products,,3- Paper on new method,Sporomusa ovata,,,,,,,,,B2
2,,https://www.sciencedirect.com/science/article/pii/S1074552114004529,"Structure, Bioactivity, and Resistance Mechanism of Streptomonomicin, an Unusual Lasso Peptide from an Understudied Halophilic Actinomycete",,3- Only used 1 strain,Streptomonospora alba,,6,,,,,,,B2
1,,https://www.sciencedirect.com/science/article/pii/S0006349515006712,Cell-Size Homeostasis and the Incremental Rule in a Bacterial Pathogen,,3- only use 2 strains (populations),,,,,,,,,,B2
2,,https://cdn.elifesciences.org/articles/09696/elife-09696-v2.pdf,Fine-tuning citrate synthase flux potentiates and refines metabolic innovation in the Lenski evolution experiment,,3- Only use 1 cit evolved population from LTEE,E. coli,,,,,,,,,B2
1,,https://www.sciencedirect.com/science/article/pii/S1096717615000105,Multiplet Metabolic Pathway Engineering using CRISP/Cas9 in Saccharomyces cerivisea,,3- only provide information on specific kanmyosin resistance genes,,,,,,,,,,B2
1,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-1039,Identifying structural variation in haploid microbial genomes from short-read resequencing data using breseq,,3- only look at the F13 offspring of 1 crossing,,,,,,,,,,B2
2,,https://mra.asm.org/content/2/4/e00821-14.short,"A Gapless, Unambiguous Genome Sequence of the Enterohemorrhagic E. coli O157:H7 Strain EDL933",,3- Not whole genome sequencing,E. coli,haploid,,,,,,,,B2
13,,https://www.biorxiv.org/node/20760.abstract,Long-term monitoring of inflammation in the mammalian gut using programmable commensal bacteria,,3- Not E. coli or S.cerevisiae,E. coli,haploid,,,,,,,,B2
4,,https://academic.oup.com/gbe/article/8/9/2979/2236225,The Molecular Chaperone DnaK Is a Source of Mutational Robustness,,3- Not E. coli or S.cerevisiae,,,,,,,,,,B2
20,,https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-015-0114-x,Genome sequences of two closely related strains of E. coli K-12 GM4792,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
18,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.03192/full,Predictable Molecular Adaptation of Coevolving Enterococcus faecium and Lytic Phage EfV12-phi1,,3 - Species currently not considered for model,Enterococcus faecium,,,,,,,,,B2
18,,https://www.biorxiv.org/content/10.1101/304840v1.abstract,Illuminating the microbiome's dark matter: a functional genomic toolkit for the study of human gut Actinobacteria,,3 - Species currently not considered for model,Actinobacteria,,,,,,,,,B2
19,,https://wwwnc.cdc.gov/eid/article/25/3/pdfs/18-0894.pdf,SNP-IT Tool for Identifying Subspecies and Associated Lineages of Mycobacterium tuberculosis Complex,,3 - Species currently not considered for model,Mycobacterium tuberculosis,,,,,,,,,B2
19,,https://escholarship.org/uc/item/3395n1qh,Biogeography and the Adaptive Variation of Marine Bacteria in Response to Environmental Change,,3 - Species currently not considered for model,Prochlorococcus,,,,,,,,,B2
19,,https://scholarship.rice.edu/handle/1911/95621,Evolutionary Dynamics Leading to Tigecycline Resistance in Enterococcus faecalis,,3 - Species currently not considered for model,Enterococcus faecalis,,,,,,,,,B2
19,,https://aac.asm.org/content/early/2019/01/24/AAC.02313-18.abstract,Emergence of Neisseria gonorrhoeae Strains Harboring a Novel Combination of Azithromycin-attenuator Mutations,,3 - Species currently not considered for model,Neisseria gonorrhoeae,,,,,,,,,B2
20,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=3164&context=dissertation,Causes and Consequences of Diversity within Experimental Biofilms of P. aeruginosa,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
22,,https://mra.asm.org/content/5/23/e00493-17.short,Genome Sequences for Streptomyces spp. Isolated from Disease-Suppressive Soils and Long-Term Ecological Research Sites,,3 - Species currently not considered for model,Streptomyces spp.,,,,,,,,,B2
22,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000123,Structural basis of DSF recognition by its receptor RpfR and its regulatory interaction with the DSF synthase RpfF,,3 - Species currently not considered for model,Burkholderia,,,,,,,,,B2
