Paper,Species,number of population,other info,stressor,stressor_type,stressor_init,stressor_final,fitness_anc,fitness_evol,fitness_measure,environment,generation,generation.test,c-score,p-value,estimate,numer of non-parallel genes,numer of parallel genes,parallel genes
Jerison 2017,Saccharomyces cerevisiae,4,F07,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.005,1,3,0,
Jerison 2017,Saccharomyces cerevisiae,4,F08,,,,,,,,Synthetic-OT-Optimal temperature,500,500,3.883,0.005,0.005,8,1,IRA1
Jerison 2017,Saccharomyces cerevisiae,4,F10,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.005,1,6,0,
Jerison 2017,Saccharomyces cerevisiae,4,G01,,,,,,,,Synthetic-OT-Optimal temperature,500,500,3.46,0.005,0.009,11,1,ENP2
Jerison 2017,Saccharomyces cerevisiae,4,G03,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.915,1,8,0,
Jerison 2017,Saccharomyces cerevisiae,4,G09,,,,,,,,Synthetic-OT-Optimal temperature,500,500,5.508,0.015,0.003,6,1,IRA1
Jerison 2017,Saccharomyces cerevisiae,4,G11,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.005,1,5,0,
Jerison 2017,Saccharomyces cerevisiae,4,H02,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.005,1,2,0,
Jerison 2017,Saccharomyces cerevisiae,4,H04,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.005,1,6,0,
Jerison 2017,Saccharomyces cerevisiae,4,H07,,,,,,,,Synthetic-OT-Optimal temperature,500,500,5.498,0.005,0.007,9,1,IRA1
Jerison 2017,Saccharomyces cerevisiae,4,H08,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.74,0.236,1,0,
Jerison 2017,Saccharomyces cerevisiae,4,H12,,,,,,,,Synthetic-OT-Optimal temperature,500,500,0,0.01,1,4,0,
Jerison 2017,Saccharomyces cerevisiae,4,HT,,,,,,,,Synthetic-HT-high temperature,500,500,3.071,0.005,0.067,225,25,"BFR2, BMS1, ENP2, GPB1, GPB2, GYP6, IMH1, IRA1, IRA2, KRE33, NNK1, PDE2, RPS8A, RQC2, RRP3, RTC1, RXT3, SIR2, SIR3, SIR4, SRS2, UBA2, UTP20, YLR072W, YPK9"
Jerison 2017,Saccharomyces cerevisiae,4,OT,,,,,,,,Synthetic-HT-high temperature,500,500,2.444,0.005,0.036,115,16,"BFR2, BMS1, BUD23, CRM1, ENP2, GPB1, IRA1, IRA2, KRE33, LTE1, PDE2, RPS6A, SIR3, SIR4, STE11, UTP20"
Tonoyan 2019,E.coli,6,,,,,,,,,LB medium,1,1,39.7,0.005,0.002,5,3,"DR76_2014, DR76_3675, gyrA "
Tonoyan 2019,E.coli,6,,,,,,,,,LB medium,14,14,21.3,0.005,0.015,39,13,"DR76_1360, DR76_1398/alx , DR76_2014, DR76_3192, DR76_3675, DR76_4473, DR76_4694/pic , gyrA, malT, mutH, ompF, parC, treR"
Tonoyan 2019,E.coli,6,,,,,,,,,LB medium,20,20,16.2,0.005,0.036,80,30,"crr, cydA, DR76_1360, DR76_1398/alx , DR76_1460, DR76_1615, DR76_2014, DR76_2342, DR76_2370, DR76_2805, DR76_3396/DR76_3397 , DR76_3575, DR76_3675, DR76_3752, DR76_4142, DR76_4473, DR76_4694/pic , gyrA, livF/ DR76_1042 , malT, mutH, nhaA/nhaR , ompF, parC, parE, rfaH, slyA, treR, yhjH, yhjK"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,500,500,4.475,0.005,0.005,6,1,topA
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,1000,1000,14.409,0.005,0.005,9,2,"pykF, spoT"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,1500,1500,15.191,0.005,0.005,11,4,"pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,2000,2000,19.382,0.005,0.006,12,5,"mrdA, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,5000,5000,22.021,0.005,0.008,20,6,"hslU, malT, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,10000,10000,16.391,0.005,0.02,40,7,"hslU, malT, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA, ybaL"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,20000,20000,16.993,0.005,0.034,69,16,"ECB_02816, envZ, fimA, hslU, iap, iclR, infB, malT, manB, manC, insB-14, insA-14, wbbD, wbbC, wzy, wbbB, wbbA, vioB, vioA, wzx, rmlC, rfbA, rfbD, rfbB, galF, wcaM, wcaL, wcaK, wzxC, wcaJ, "">cpsG, nadR, nmpC, ybcR, ybcS, ybcT, ybcU, ECB_00510, nohB, ECB_00512, ECB_00513, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA, ybaL"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,30000,30000,4.366,0.005,0.054,54,6,"ECB_02816, hslU, malT, nadR, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,40000,40000,8.931,0.005,0.068,67,5,"hslU, iap, malT, nadR, pykF"
Tenaillon2016,E.coli,12,,,,,,,,,David minimal medium,50000,50000,8.269,0.005,0.082,75,5,"hslU, iap, malT, nadR, pykF"
Wannier2018,E.coli,14,,,,,,,,,Glucose Minimal Medium,1100,1100,51.053,0.005,0.119,12,626,"aat, aceK, acrD, adeQ, adiC, aer, agaR, allC, amiD;ybjS, anmK, apt, aqpZ, araD, araJ, argO, argP, arnA;arnD, arpB, ascB, aslB, asmA, astE, atpB, atpE, baeR, bamA, barA, bcp, bcsA, bdcR, bdcR, bfr, bioD, bioH, btuC, btuF, caiB, carA, cbl, cbrA;dgoT, cbrC, ccmH, cdaR, cdaR, cdaR, chaA, chbA, citE, citF, coaD, cpdA, cpxA, cpxP, creC, croE, csiR, cspD, cybB, cynR, cyoA, dacB, dacB, dam, damX, dauA, dcp, dcyD, ddpC, ddpF, deoA, deoB, der, dhaK, dhaR, dinD, dinJ, djlB, dmlR, dmsD, dnaJ, dosC, dsdX, dusB, ecpB, efeU, envY, envZ, eptB, eptC, eutT, evgS, exoX;ptrB, fabF, fabH, fau, fdhF, fdnG, fecA, fecE, fecE, fhuA, fhuA, fimB, flgK, flgK, flgK, flhA, fliE, fliH, fliN, fliP, fliQ, fmt, focB, frlD, frmR, fruB, frwD;yijO, ftsA, fucI, fucK, fumB, fumC, gabT, gadB, gadB, gadB, gadE, gadW, gadX, galK, galS, gapA, garR, gatR, ghoS, ghoT, glcC, glgA, glgA, glnE, glpQ, glvC, glvC, glvC, glyA, gntX, gpp, gsiD, gspD, gtrA, hcp, hda, hemA, hemH;aes, hemY, hisL, hmp, hofC, hokE, hrpB, hsdM, hsdR, hybF, hycI, hypB;hypC, iap, idnR, idnR, idnT, ilvA, ilvL, insA, insB1, insB1, insB1, insB1, insB1, insB1, insD1, insD1, insD1, insD1, insD1, insD1, insD1, insF1, insF1, insF1, insF1, insF1, insH1, insI1, intR, iraP, ivbL, kch, kdpD, kduI, kefB, kefF;kefC, ldtE, ldtE, leuS, leuV, leuV, lhr, lipB, livJ, lldD, loiP, lolA, lolE, lon, lplA, lpxK, lpxM, lsrK, luxS, lysC, lysR;ygeA, malQ, malX, marA, marB, mazF, mcrC;mcrB, mdlA, mdlA;mdlB, mdtH, mdtK, mdtL, menF, metQ, mhpC, mhpF, mltB, mltB, mntH, mntP, mntS, moaE, mocA, mreB, mreD;mreC, msbA, mscK, msrA, mtlA, murF;mraY, mutH, mutS, mutS, mutT, mutY, nadC, nanC, nanT, narL, nei;abrB, nei;abrB, nemR, nfrA, nikA, nlpC, nlpI, nlpI, nnr, norW, nudG;ynjH, ompF, opgD, otsA, paaG, paaG, paaX;paaY, pabC, patA, pbl, pbpC, pdhR, pdxA, pepB, pepD, pgaB, pgpA, pgpC, pgrR, phnC, phnC, phnL, php, php, plsX, ppdC, pphB, ppsR, priB, priC, prlC, proA, proP, prpE, psd, pspF, pssA, pta, ptsN, ptsP, purM, pykF, qorB, raiA, rbsA, rbsB, rbsR;hsrA, rcdA, rcsC, rcsD, recB, recJ, recQ, relA, rhmA, rhsA, rhsD, rhsE;ydcD, rimK, rlmD, rlpA, rmuC, rph, rpiA, rpmI, rspA, rsxD, rsxE, rtcA, rttR, rttR, rttR, rttR, rttR;tpr, rttR;tpr, rutA, rutC, rzpD, rzpQ, rzpR;rzoR, sanA, sapC;sapB, scpA, selA, setC, sfsA, sgbU;sgbE, sieB;ydaF, smf, speA, speB, speG, spf, srlE, srmB, sstT, stfR, stfR, sucB, sufA, sufB, sufD, sufS, sugE;blc, surA, tamB, tamB, tatD;rfaH, tauA, tdcA, tfaP;tfaE, tfaP;tfaE, tfaS;yfdK, thiB, thiQ, tmcA, tomB, trg, trmL, tsaA, ttdR, tynA, typA, uacT, ubiF, ugd, ulaD, ulaF, waaH, wbbK;wbbJ, wcaC, wcaD;wcaC, wcaK, wcaL, wcaM, wzxE, wzzE, wzzE, wzzE, xapR, xapR, xisE, xylF, xylG, xylR, yaaJ, yaaW, yabI, yadC, yadL, yadV, yaeI, yafF, yafL, yagA, yagF, yagH, yahE, yahL, yahL, yahM, yaiP, yaiS, yajL, yajL;panE, ybaA, ybaO, ybaY, ybbO, ybbP, ybcF, ybcL, ybcY, ybeQ, ybeQ, ybeU, ybfD, ybfG, ybgC, ybhG;ybiH, ybhM, ybhR, ybhS, ybiR, ybiW, ycaI, ycbK, yceF, yceO, ycfQ, ycgM, ycgX, ycgY, ycjG, ycjG, ycjG;mpaA, ycjU, ycjV, ydaG, ydaY, ydbA, ydcC, pptA, ydcL, yddK, ydeA, ydeE, ydeI, ydfC, ydfG, ydgA, ydiE, ydiS, ydjX, yeaH, yeaJ, yeaL;yeaM, yeaM, yeaX, yebB, yecN, yedA, yedN, yedS, yeeE, yeeJ, yegI, yegT, yegV;yegW, yegV;yegW, yehB, yehI, yehQ, yehU, yeiP, yejA, yejA, yejE, yejO, yfaS;yfaT, yfcO, yfcU, yfdY, yfeO, yfeR, yffB, yfgG, yfiM;kgtP, yfiN, yfjQ, yfjR, ygaM, ygaQ, ygaQ, ygaQ, ygaQ, ygaU, ygbA, ygcE, ygcN;ygcO, ygcO, ygeI, ygeN, yggN, yggU, yghQ, yghT, yghT, ygiZ, yhaC, yhaC, yhaK, yhaO, yhaV, yhbO, yhbQ, yhbU, yhbW, yhbX, yhcC, yhcF, yhcO, yhdN, yheV, yhfZ, yhgE, yhhA;ugpQ, yhjK, yhjR, yiaG, yibA, yibB, yibF, yibQ;waaH, yicG;ligB, yidG;yidH, yieH, yieH, yifK, yigG, yihL, yihW, yiiD, yiiD, yijF, yjaB, yjbS, yjfY, yjfY, yjgL, yjgX, yjgX, yjhR, yjiM, yjiN, yjiN, yjiP, yjjQ;bglJ, yjjV, ykgL, ylaB, ylaB, yliE, yliI;gstB, ymdF, ymfM, ymfR;beeE, ynfA, ynfH, ynfM, yoaA, yoaI, yobB, yohC, yohF, ypdI, ypdI, ypeA, yphA, ypjA, ypjA, ypjC, yqaE, yqeC, yqeF, yqiB, yqiG, yqiI, yraP, yraQ, yrbG, ytfA;ytfB, ytjA, zapC, zapC;ycbX, znuC, zraR;purD, zupT"
Wielgoss2016,E.coli,6,Mucoid,,,,,,,,lysogeny broth,0,0,4.798,0.005,0.022,22,2,"ompC ‚Üê, waaO ‚Üê"
Wielgoss2016,E.coli,6,Mucoid,,,,,,,,lysogeny broth,10,10,2.543,0.005,0.04,35,3,"fimB ‚Üí / ‚Üí fimE, ompC ‚Üê, waaO ‚Üê"
Wielgoss2016,E.coli,6,Non-mucoid,,,,,,,,lysogeny broth,0,0,6.182,0.005,0.027,25,2,"nudE ‚Üê / ‚Üí yrfF, yrfF ‚Üí"
Wielgoss2016,E.coli,6,Non-mucoid,,,,,,,,lysogeny broth,2,2,8.452,0.005,0.016,23,4,"rcsB ‚Üí, rcsC ‚Üê, rcsD ‚Üí, yrfF ‚Üí"
Wielgoss2016,E.coli,6,Non-mucoid,,,,,,,,lysogeny broth,10,10,5.853,0.005,0.035,36,3,"fimE ‚Üí, rcsC ‚Üê, yrfF ‚Üí"
Deatherage2017,E.coli,6,,,,,,,,,glucose-limited medium,2000,2000,41.382,0.005,0.002,1,6,"fimA, pykF, rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO, spoT, topA, yeiB"
